"","orfno","neg_N","neg_C","neg_C_LDAO","neg_MSGC.24","neg_MSGC.28","neg_MSGC.7","neg_MSGC.9","neg_MSGC.9_LDAO","pos_N","pos_C","pos_C_LDAO","pos_MSGC.24","pos_MSGC.28","pos_MSGC.7","pos_MSGC.9","pos_MSGC.9_LDAO","Analyze","N","C","C_LDAO","MSGC.24","MSGC.28","MSGC.7","MSGC.9","MSGC.9_LDAO","sum","tot_neg","tot_pos","pos_neg"
"3025300",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"3025279",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"81555709",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"3025180",4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,1,1,0,0,1,1,2,"mix"
"3025181",5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,-3,3,0,"neg"
"81341872",6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,-1,1,0,0,1,1,2,"mix"
"6226422",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"81556159",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"15214340",9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,-3,3,0,"neg"
"74571060",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"74571238",11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"26107395",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"60392258",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"131488",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"15803550",15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"26106749",16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"16131648",17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"43942",18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"586613",19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"586684",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,2,1,"mix"
"54042329",21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"732331",22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"1172734",23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"1169719",24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"1174730",25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"1175083",26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"1172710",28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
