Protein,E. coli strain,Vector,Measurement,Outcome
SSO2938,C43(DE3),pTTQ18,WB/Gel,0
SSO2528,C43(DE3),pTTQ18,WB/Gel,1
SSO2042,C43(DE3),pTTQ18,WB/Gel,5
SSO1665,C43(DE3),pTTQ18,WB/Gel,0
Saci2039,C43(DE3),pTTQ18,WB/Gel,0
MA1518,C43(DE3),pTTQ18,WB/Gel,10
MJ1319,C43(DE3),pTTQ18,WB/Gel,0
Mevan1511,C43(DE3),pTTQ18,WB/Gel,5
MMP0681,C43(DE3),pTTQ18,WB/Gel,5
Hbor39700,C43(DE3),pTTQ18,WB/Gel,10
AF2014,C43(DE3),pTTQ18,WB/Gel,0
Ta0252,C43(DE3),pTTQ18,WB/Gel,n.c.
Msed1117,C43(DE3),pTTQ18,WB/Gel,0
pNG7043,C43(DE3),pTTQ18,WB/Gel,10
Saci1848,C43(DE3),pTTQ18,WB/Gel,n.t.
SSO2938,C43(DE3),pET52b(+),WB/Gel,0
SSO2528,C43(DE3),pET52b(+),WB/Gel,1
SSO2042,C43(DE3),pET52b(+),WB/Gel,5
SSO1665,C43(DE3),pET52b(+),WB/Gel,1
Saci2039,C43(DE3),pET52b(+),WB/Gel,1
MA1518,C43(DE3),pET52b(+),WB/Gel,10
MJ1319,C43(DE3),pET52b(+),WB/Gel,0
Mevan1511,C43(DE3),pET52b(+),WB/Gel,5
MMP0681,C43(DE3),pET52b(+),WB/Gel,5
Hbor39700,C43(DE3),pET52b(+),WB/Gel,10
AF2014,C43(DE3),pET52b(+),WB/Gel,0
Ta0252,C43(DE3),pET52b(+),WB/Gel,1
Msed1117,C43(DE3),pET52b(+),WB/Gel,0
pNG7043,C43(DE3),pET52b(+),WB/Gel,n.c.
Saci1848,C43(DE3),pET52b(+),WB/Gel,n.c.
SSO2938,C43(DE3),pWarf(-),WB/Gel,0
SSO2528,C43(DE3),pWarf(-),WB/Gel,0
SSO2042,C43(DE3),pWarf(-),WB/Gel,0
SSO1665,C43(DE3),pWarf(-),WB/Gel,0
Saci2039,C43(DE3),pWarf(-),WB/Gel,0
MA1518,C43(DE3),pWarf(-),WB/Gel,0
MJ1319,C43(DE3),pWarf(-),WB/Gel,0
Mevan1511,C43(DE3),pWarf(-),WB/Gel,0
MMP0681,C43(DE3),pWarf(-),WB/Gel,0
Hbor39700,C43(DE3),pWarf(-),WB/Gel,0
AF2014,C43(DE3),pWarf(-),WB/Gel,0
Ta0252,C43(DE3),pWarf(-),WB/Gel,0
Msed1117,C43(DE3),pWarf(-),WB/Gel,n.c.
pNG7043,C43(DE3),pWarf(-),WB/Gel,0
Saci1848,C43(DE3),pWarf(-),WB/Gel,n.c.
SSO2938,BL21 Star,pTTQ18,WB/Gel,0
SSO2528,BL21 Star,pTTQ18,WB/Gel,1
SSO2042,BL21 Star,pTTQ18,WB/Gel,5
SSO1665,BL21 Star,pTTQ18,WB/Gel,0
Saci2039,BL21 Star,pTTQ18,WB/Gel,0
MA1518,BL21 Star,pTTQ18,WB/Gel,10
MJ1319,BL21 Star,pTTQ18,WB/Gel,0
Mevan1511,BL21 Star,pTTQ18,WB/Gel,5
MMP0681,BL21 Star,pTTQ18,WB/Gel,5
Hbor39700,BL21 Star,pTTQ18,WB/Gel,10
AF2014,BL21 Star,pTTQ18,WB/Gel,0
