No,Code,Vector,Outcome
1,hp0471,TEV / M,0
2,hp0743,TEV / M,0
3,hp0055,TEV / M,3
4,hp0071,TEV / M,2
5,hp0074,TEV / M,x
6,hp0133,TEV / M,3
7,hp0140,TEV / M,3
8,hp0141,TEV / M,0
9,hp0173,TEV / M,x
10,hp0180,TEV / M,0
11,hp0189,TEV / M,3
12,hp0214,TEV / M,3
13,hp0215,TEV / M,3
14,hp0226,TEV / M,3
15,hp0228,TEV / M,3
16,hp0251,TEV / M,0
17,hp0258,TEV / M,x
18,hp0265,TEV / M,0
19,hp0284,TEV / M,2
20,hp0286,TEV / M,0
21,hp0288,TEV / M,3
22,hp0299,TEV / M,x
23,hp0300,TEV / M,3
24,hp0307,TEV / M,3
25,hp0342,TEV / M,3
26,hp0362,TEV / M,3
27,hp0375,TEV / M,3
28,hp0378,TEV / M,x
29,hp0382,TEV / M,1
30,hp0415,TEV / M,x
31,hp0474,TEV / M,0
32,hp0490,TEV / M,2
33,hp0493,TEV / M,0
34,hp0497,TEV / M,x
35,hp0498,TEV / M,0
36,hp0565,TEV / M,3
37,hp0571,TEV / M,3
38,hp0600,TEV / M,2
39,hp0607,TEV / M,x
40,hp0622,TEV / M,x
41,hp0633,TEV / M,0
42,hp0644,TEV / M,3
43,hp0684,TEV / M,0
44,hp0685,TEV / M,3
45,hp0687,TEV / M,3
46,hp0693,TEV / M,1
47,hp0700,TEV / M,0
48,hp0724,TEV / M,0
49,hp0737,TEV / M,2
50,hp0740,TEV / M,0
51,hp0749,TEV / M,2
52,hp0758,TEV / M,0
53,hp0787,TEV / M,2
54,hp0791,TEV / M,2
55,hp0818,TEV / M,0
56,hp0851,TEV / M,0
57,hp0855,TEV / M,0
58,hp0861,TEV / M,x
59,hp0889,TEV / M,2
60,hp0920,TEV / M,3
61,hp0927,TEV / M,2
62,hp0936,TEV / M,0
63,hp0939,TEV / M,0
64,hp0942,TEV / M,0
65,hp0955,TEV / M,3
66,hp0969,TEV / M,0
67,hp0983,TEV / M,0
68,hp1016,TEV / M,0
69,hp1017,TEV / M,1
70,hp1041,TEV / M,3
71,hp1044,TEV / M,0
72,hp1061,TEV / M,1
73,hp1069,TEV / M,3
74,hp1071,TEV / M,3
75,hp1072,TEV / M,3
76,hp1077,TEV / M,1
77,hp1082,TEV / M,2
78,hp1090,TEV / M,0
79,hp1091,TEV / M,3
80,hp1130,TEV / M,0
81,hp1162,TEV / M,2
82,hp1168,TEV / M,3
83,hp1169,TEV / M,0
84,hp1170,TEV / M,0
85,hp1174,TEV / M,3
86,hp1175,TEV / M,3
87,hp1180,TEV / M,x
88,hp1181,TEV / M,3
89,hp1183,TEV / M,0
90,hp1184,TEV / M,2
91,hp1185,TEV / M,x
92,hp1206,TEV / M,2
93,hp1234,TEV / M,3
94,hp1251,TEV / M,x
95,hp1255,TEV / M,3
96,hp1258,TEV / M,3
97,hp1300,TEV / M,0
98,hp1329,TEV / M,2
99,hp1339,TEV / M,3
100,hp1343,TEV / M,0
101,hp1344,TEV / M,3
102,hp1360,TEV / M,0
103,hp1361,TEV / M,3
104,hp1419,TEV / M,3
105,hp1445,TEV / M,3
106,hp1450,TEV / M,0
107,hp1466,TEV / M,3
108,hp1484,TEV / M,0
109,hp1486,TEV / M,2
110,hp1491,TEV / M,0
111,hp1503,TEV / M,3
112,hp1506,TEV / M,0
113,hp1508,TEV / M,3
114,hp1509,TEV / M,0
115,hp1539,TEV / M,3
116,hp1548,TEV / M,3
117,hp1552,TEV / M,3
118,hp1560,TEV / M,3
119,hp1577,TEV / M,3
120,hp1581,TEV / M,x
1,hp0471,TEV / A,0
2,hp0743,TEV / A,0
3,hp0055,TEV / A,2
4,hp0071,TEV / A,1
5,hp0074,TEV / A,x
6,hp0133,TEV / A,3
7,hp0140,TEV / A,3
8,hp0141,TEV / A,1
9,hp0173,TEV / A,x
10,hp0180,TEV / A,0
11,hp0189,TEV / A,3
12,hp0214,TEV / A,3
13,hp0215,TEV / A,3
14,hp0226,TEV / A,1
15,hp0228,TEV / A,2
16,hp0251,TEV / A,3
17,hp0258,TEV / A,x
18,hp0265,TEV / A,3
19,hp0284,TEV / A,3
20,hp0286,TEV / A,3
21,hp0288,TEV / A,3
22,hp0299,TEV / A,x
23,hp0300,TEV / A,3
24,hp0307,TEV / A,3
25,hp0342,TEV / A,0
26,hp0362,TEV / A,2
27,hp0375,TEV / A,3
28,hp0378,TEV / A,x
29,hp0382,TEV / A,1
30,hp0415,TEV / A,x
31,hp0474,TEV / A,0
32,hp0490,TEV / A,2
33,hp0493,TEV / A,0
34,hp0497,TEV / A,x
35,hp0498,TEV / A,0
36,hp0565,TEV / A,3
37,hp0571,TEV / A,3
38,hp0600,TEV / A,0
39,hp0607,TEV / A,x
40,hp0622,TEV / A,x
41,hp0633,TEV / A,3
42,hp0644,TEV / A,3
43,hp0684,TEV / A,2
44,hp0685,TEV / A,3
45,hp0687,TEV / A,1
46,hp0693,TEV / A,0
47,hp0700,TEV / A,3
48,hp0724,TEV / A,0
49,hp0737,TEV / A,0
50,hp0740,TEV / A,2
51,hp0749,TEV / A,3
52,hp0758,TEV / A,2
53,hp0787,TEV / A,3
54,hp0791,TEV / A,2
55,hp0818,TEV / A,x
56,hp0851,TEV / A,3
57,hp0855,TEV / A,0
58,hp0861,TEV / A,x
59,hp0889,TEV / A,3
60,hp0920,TEV / A,3
61,hp0927,TEV / A,3
62,hp0936,TEV / A,2
63,hp0939,TEV / A,0
64,hp0942,TEV / A,0
65,hp0955,TEV / A,0
66,hp0969,TEV / A,0
67,hp0983,TEV / A,2
68,hp1016,TEV / A,3
69,hp1017,TEV / A,0
70,hp1041,TEV / A,3
71,hp1044,TEV / A,2
72,hp1061,TEV / A,3
73,hp1069,TEV / A,2
74,hp1071,TEV / A,3
75,hp1072,TEV / A,3
76,hp1077,TEV / A,2
77,hp1082,TEV / A,3
78,hp1090,TEV / A,2
79,hp1091,TEV / A,3
80,hp1130,TEV / A,3
81,hp1162,TEV / A,1
82,hp1168,TEV / A,0
83,hp1169,TEV / A,0
84,hp1170,TEV / A,1
85,hp1174,TEV / A,3
86,hp1175,TEV / A,3
87,hp1180,TEV / A,0
88,hp1181,TEV / A,3
89,hp1183,TEV / A,0
90,hp1184,TEV / A,1
91,hp1185,TEV / A,x
92,hp1206,TEV / A,2
93,hp1234,TEV / A,3
94,hp1251,TEV / A,x
95,hp1255,TEV / A,3
96,hp1258,TEV / A,3
97,hp1300,TEV / A,0
98,hp1329,TEV / A,3
99,hp1339,TEV / A,1
100,hp1343,TEV / A,1
101,hp1344,TEV / A,3
102,hp1360,TEV / A,1
103,hp1361,TEV / A,1
104,hp1419,TEV / A,3
105,hp1445,TEV / A,3
106,hp1450,TEV / A,2
107,hp1466,TEV / A,1
108,hp1484,TEV / A,1
109,hp1486,TEV / A,3
110,hp1491,TEV / A,2
111,hp1503,TEV / A,0
112,hp1506,TEV / A,0
113,hp1508,TEV / A,3
114,hp1509,TEV / A,0
115,hp1539,TEV / A,3
116,hp1548,TEV / A,3
117,hp1552,TEV / A,3
118,hp1560,TEV / A,0
119,hp1577,TEV / A,3
120,hp1581,TEV / A,0
1,hp0471,LAC / M,0
2,hp0743,LAC / M,0
3,hp0055,LAC / M,0
4,hp0071,LAC / M,0
5,hp0074,LAC / M,2
6,hp0133,LAC / M,0
7,hp0140,LAC / M,0
8,hp0141,LAC / M,0
9,hp0173,LAC / M,x
10,hp0180,LAC / M,0
11,hp0189,LAC / M,0
12,hp0214,LAC / M,0
13,hp0215,LAC / M,0
14,hp0226,LAC / M,0
15,hp0228,LAC / M,0
16,hp0251,LAC / M,0
17,hp0258,LAC / M,0
18,hp0265,LAC / M,0
19,hp0284,LAC / M,0
20,hp0286,LAC / M,0
21,hp0288,LAC / M,x
22,hp0299,LAC / M,0
23,hp0300,LAC / M,x
24,hp0307,LAC / M,3
25,hp0342,LAC / M,x
26,hp0362,LAC / M,0
27,hp0375,LAC / M,0
28,hp0378,LAC / M,x
29,hp0382,LAC / M,0
30,hp0415,LAC / M,1
31,hp0474,LAC / M,0
32,hp0490,LAC / M,3
33,hp0493,LAC / M,0
34,hp0497,LAC / M,x
35,hp0498,LAC / M,3
36,hp0565,LAC / M,3
37,hp0571,LAC / M,x
38,hp0600,LAC / M,0
39,hp0607,LAC / M,x
40,hp0622,LAC / M,x
41,hp0633,LAC / M,2
42,hp0644,LAC / M,x
43,hp0684,LAC / M,0
44,hp0685,LAC / M,0
45,hp0687,LAC / M,0
46,hp0693,LAC / M,0
47,hp0700,LAC / M,0
48,hp0724,LAC / M,0
49,hp0737,LAC / M,0
50,hp0740,LAC / M,0
51,hp0749,LAC / M,0
52,hp0758,LAC / M,0
53,hp0787,LAC / M,0
54,hp0791,LAC / M,0
55,hp0818,LAC / M,x
56,hp0851,LAC / M,0
57,hp0855,LAC / M,0
58,hp0861,LAC / M,0
59,hp0889,LAC / M,x
60,hp0920,LAC / M,0
61,hp0927,LAC / M,0
62,hp0936,LAC / M,0
63,hp0939,LAC / M,0
64,hp0942,LAC / M,2
