Family,Source,organism,GI number,Vector,Outcome
1,AEC,A. aeolicus,15606582,pTTQ18-A,10
2,AEC,P. furiosus,33359482,pTTQ18-A,0
3,AGCS,S. typhimurium,16418499,pTTQ18-A,0
4,AGCS,P. furiosus,18976886,pTTQ18-A,0
5,APC,S. typhimurium,16419208,pTTQ18-A,100
6,APC,S. typhimurium,16419480,pTTQ18-A,100
7,APC,S. typhimurium,16419996,pTTQ18-A,10
8,APC,S. typhimurium,16420738,pTTQ18-A,100
9,APC,S. typhimurium,16420900,pTTQ18-A,0
10,DAACS,S. typhimurium,16421782,pTTQ18-A,0
11,DAACS,A. aeolicus,15606533,pTTQ18-A,10
12,DASS,A. aeolicus,15605634,pTTQ18-A,10
13,DASS,S. typhimurium,16421721,pTTQ18-A,0
14,DASS,S. typhimurium,16421915,pTTQ18-A,CF
15,DMT,S. typhimurium,16419338,pTTQ18-A,100
16,DMT,S. typhimurium,16422334,pTTQ18-A,100
17,ESS,S. typhimurium,16767031,pTTQ18-A,0
18,GntP,S. typhimurium,16421462,pTTQ18-A,10
19,GntP,S. typhimurium,16422071,pTTQ18-A,10
20,GntP,S. typhimurium,16422100,pTTQ18-A,10
21,GntP,S. typhimurium,16422374,pTTQ18-A,10
22,GntP,S. typhimurium,16423047,pTTQ18-A,10
23,MFS,A. aeolicus,15606460,pTTQ18-A,100
24,MFS,P. furiosus,18976892,pTTQ18-A,0
25,MFS,S. typhimurium,16764711,pTTQ18-A,100
26,MIT,A. aeolicus,15606202,pTTQ18-A,0
27,MIT,P. furiosus,18978408,pTTQ18-A,10
28,NCS1,S. typhimurium,16419032,pTTQ18-A,0
29,NCS1,S. typhimurium,16421891,pTTQ18-A,0
30,NCS2,P. furiosus,18977224,pTTQ18-A,0
31,NCS2,P. furiosus,18977612,pTTQ18-A,0
32,NCS2,S. typhimurium,16419034,pTTQ18-A,0
33,NCS2,S. typhimurium,16421039,pTTQ18-A,0
34,NCS2,S. typhimurium,16422196,pTTQ18-A,0
35,NSS,A. aeolicus,15607041,pTTQ18-A,10
36,Trk,A. aeolicus,15606659,pTTQ18-A,10
37,Trk,S. typhimurium,16422552,pTTQ18-A,10
1,AEC,A. aeolicus,15606582,pTTQ18-C,0
2,AEC,P. furiosus,33359482,pTTQ18-C,0
3,AGCS,S. typhimurium,16418499,pTTQ18-C,0
4,AGCS,P. furiosus,18976886,pTTQ18-C,0
5,APC,S. typhimurium,16419208,pTTQ18-C,0
6,APC,S. typhimurium,16419480,pTTQ18-C,0
7,APC,S. typhimurium,16419996,pTTQ18-C,10
8,APC,S. typhimurium,16420738,pTTQ18-C,100
9,APC,S. typhimurium,16420900,pTTQ18-C,0
10,DAACS,S. typhimurium,16421782,pTTQ18-C,100
11,DAACS,A. aeolicus,15606533,pTTQ18-C,0
12,DASS,A. aeolicus,15605634,pTTQ18-C,0
13,DASS,S. typhimurium,16421721,pTTQ18-C,0
14,DASS,S. typhimurium,16421915,pTTQ18-C,10
15,DMT,S. typhimurium,16419338,pTTQ18-C,100
16,DMT,S. typhimurium,16422334,pTTQ18-C,100
17,ESS,S. typhimurium,16767031,pTTQ18-C,0
18,GntP,S. typhimurium,16421462,pTTQ18-C,10
19,GntP,S. typhimurium,16422071,pTTQ18-C,0
20,GntP,S. typhimurium,16422100,pTTQ18-C,0
21,GntP,S. typhimurium,16422374,pTTQ18-C,0
22,GntP,S. typhimurium,16423047,pTTQ18-C,0
23,MFS,A. aeolicus,15606460,pTTQ18-C,10
24,MFS,P. furiosus,18976892,pTTQ18-C,0
25,MFS,S. typhimurium,16764711,pTTQ18-C,100
26,MIT,A. aeolicus,15606202,pTTQ18-C,0
27,MIT,P. furiosus,18978408,pTTQ18-C,100
28,NCS1,S. typhimurium,16419032,pTTQ18-C,0
29,NCS1,S. typhimurium,16421891,pTTQ18-C,0
30,NCS2,P. furiosus,18977224,pTTQ18-C,0
31,NCS2,P. furiosus,18977612,pTTQ18-C,0
32,NCS2,S. typhimurium,16419034,pTTQ18-C,0
33,NCS2,S. typhimurium,16421039,pTTQ18-C,0
