Plate,Day,ID,Topol. PhoA av,Normalised PhoA (i.e. x/347),Topol. GFP av,Normalised GFP (I.e. x/3924),PhoA clone,GFP clone,GFP/ml,mg/L,% delta OD (av expressed as % of BL21-from respective plate),Assign_key_new,Cterm_new,Cterm_clone,Keep?,groupid,Direct?,Val1,Val2,Val3,Val4,ValNorm1,ValNorm2,ValNorm3,ValNorm4,OD600_1,OD600_2,OD600_3,OD600_4,OD600_Norm1,OD600_Norm2,OD600_Norm3,OD600_Norm4
Fri A01,Fri,PhoR,0,0,5000,1.27,1,1,8828,18.73890133,101,1,in,in_1,1,Fri_in,1,6405,2165,4952,6480,1.30829743,0.42744104,0.833958254,1.272075549,1.60474,0.175876,1.649596,1.238806,0.850918292,0.128237734,1.180781052,0.849304681
Fri A02,Fri,KgtP,1,0,0,0,1,0,0,0,0,2p,in,in_0,0,Fri_in,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri A03,Fri,YbbY,70,0.2,6255,1.59,1,1,3906,7.95080272,29,1,in,in_1,1,Fri_in,1,5097,5710,7173,7038,1.041136634,1.127617176,1.208097506,1.381572239,0.655664,0.669676,0.584934,0.625234,0.347667841,0.488285682,0.418695841,0.428649977
Fri A05,Fri,RstB,16,0.05,3459,0.88,1,1,5323,11.23855765,100,1,in,in_1,1,Fri_in,1,3729,3340,3473,3293,0.761739107,0.659531224,0.584958569,0.646492127,1.780202,1.468752,1.35878,1.523494,0.943957554,1.070921717,0.972614918,1.044482014
Fri A08,Fri,YnfJ,0,0,1658,0.42,1,1,725,1.461781642,20,1,in,in_1,1,Fri_in,1,1212,1827,2212,1380,0.247587391,0.360856099,0.372547711,0.270915817,0.596536,0.492736,0.434438,0.3476,0.316315038,0.359272146,0.310970782,0.238308748
Fri A09,Fri,BrnQ,1,0,5171,1.32,1,1,3433,6.870290154,37,1,in,in_1,1,Fri_in,1,4188,5003,5223,6269,0.855458482,0.98802044,0.879715584,1.230566273,0.587426,0.653396,0.627884,0.77457,0.311484433,0.476415328,0.449439457,0.531032242
Fri A10,Fri,UhpC,58,0.17,5884,1.5,1,1,2970,6.169686402,26,1,in,in_1,1,Fri_in,1,4574,6129,7103,5731,0.934303694,1.210201383,1.19635387,1.124972654,0.48554,0.461178,0.676304,0.382,0.25745907,0.336262034,0.4840985,0.261892813
Fri A11,Fri,PotE,1,0,8218,2.09,1,1,8122,16.3421048,62,1,in,in_1,1,Fri_in,1,8550,7920,7981,8422,1.746371147,1.563920805,1.344171975,1.653300592,1.256576,1.03513,0.882696,0.781414,0.666303267,0.754751787,0.631833923,0.535724374
Fri B01,Fri,YhjE,14,0.04,6637,1.69,1,1,10390,21.18559481,59,1,in,in_1,1,Fri_in,1,7552,8819,8874,1301,1.54257211,1.741377867,1.494612608,0.255384382,1.54278,1.093402,1.115586,0.113624,0.818063813,0.79724007,0.798536618,0.077898715
Fri B03,Fri,YcdQ,0,0,4578,1.17,1,1,3199,6.945712813,31,1,in,in_1,1,Fri_in,1,4323,4909,4749,4330,0.8830783,0.969456035,0.799817499,0.849896863,0.79628,0.597708,0.75605,0.68206,0.422229905,0.435811136,0.541180698,0.467608932
