Day,Well,Plate,Id,GFP1,GFP2,GFP3,GFP4,GFP1/invLepB,GFP2/invLepB,GFP3/invLepB,GFP4/invLepB,OD600_GFP1,OD600_GFP2,OD600_GFP3,OD600_GFP4,OD600_GFP1/empty,OD600_GFP2/empty,OD600_GFP3/empty,OD600_GFP4/empty,PhoA1,PhoA2,PhoA3,PhoA4,PhoA1/LepB,PhoA2/LepB,PhoA3/LepB,PhoA4/LepB,OD600_PhoA1,OD600_PhoA2,OD600_PhoA3,OD600_PhoA4,OD600_PhoA1/empty,OD600_PhoA2/empty,OD600_PhoA3/empty,OD600_PhoA4/empty
Sun,A01,Sun A01,HyfE,4700,3779,4261,5385,1.113884331,1.086109569,1.059306585,1.467226424,0.72,0.44,0.57,0.59,0.381935135,0.293859684,0.378518024,0.36497229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A02,Sun A02,GlpF,28,9,24,18,0.006628349,0.002552734,0.006037152,0.00504004,1.49,1.02,1.48,1.43,0.784333946,0.683111795,0.984825659,0.882715434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A03,Sun A03,YnfH,157,124,205,175,0.037284448,0.035775021,0.050920436,0.047705899,0.68,0.43,0.55,0.67,0.359707659,0.289569128,0.366324738,0.414156854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A04,Sun A04,CdsA,384,238,394,446,0.090950838,0.068283018,0.097967314,0.121609835,0.67,0.41,0.52,0.58,0.354542921,0.276431721,0.346941222,0.35707455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A05,Sun A05,ManZ,311,0,321,354,0.073625161,0,0.079855578,0.096375011,0.54,1.10,0.40,0.52,0.283252022,0.734184501,0.264594581,0.32127442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A06,Sun A06,CyoE,121,53,135,114,0.02869429,0.015119641,0.033539234,0.031154144,0.92,0.43,0.58,0.60,0.48539666,0.283901802,0.388085904,0.370004837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A07,Sun A07,NikB,4127,2976,4319,4771,0.978128639,0.855483595,1.073721008,1.299831331,0.96,0.46,0.61,0.72,0.505281902,0.304752328,0.409591324,0.442544162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A08,Sun A08,CyoA,925,850,1136,1136,0.219296134,0.244446246,0.282462025,0.309502121,1.61,0.80,1.21,1.05,0.848441923,0.532615169,0.80918719,0.645251572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A09,Sun A09,SrlE,61,0,64,63,0.014403989,0,0.015858735,0.017287124,0.42,0.26,0.35,0.48,0.223787348,0.174244913,0.2359309,0.292591731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A10,Sun A10,YdeY,7305,3321,5005,7383,1.731351677,0.954545156,1.244107093,2.011587236,0.57,0.43,0.43,0.69,0.302245336,0.284146175,0.287781006,0.423558573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A11,Sun A11,YejB,6130,5392,5932,5780,1.452743894,1.549948655,1.474536222,1.574736295,1.06,0.54,0.82,0.92,0.561223197,0.36006084,0.547809431,0.568195384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,A12,Sun A12,YiaV,14,0,8,14,0.003201005,0,0.00207923,0.00391907,0.73,0.33,0.48,0.70,0.386398997,0.220129692,0.322450752,0.428146819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun,B01,Sun B01,YfhS,8342,6129,10244,9903,1.976997083,1.761594617,2.546541212,2.698253594,0.80,0.54,0.63,0.68,0.419939708,0.358549197,0.42150089,0.417330965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
