clone #,name,gi,von-Heijne O/E,whole cell fluorescence,unfolded exp,total exp,%unfolded,folded exp,dOD600 div dOD600 #6,whole cell fluorescence,unfolded exp,total exp,%unfolded,folded exp,dOD600,whole cell fluorescence,unfolded exp,total exp,%unfolded,folded exp,OD600 at harvest
1,glpT,16130175,2.27312231,#VALUE!,0.112110479,0.794906688,0.141036024,1.488177545,0.961267606,1.427184466,0.02945507,0.255251187,0.115396409,1.157552063,#VALUE!,#VALUE!,0.058082946,0.422911262,0.137232886,1.300464929,0.861788618
2,yicL,16131530,1.388458262,#VALUE!,0.164644297,0.533990046,0.3083284,0.90900186,1.628269618,1.514563107,0.088541367,0.279656427,0.316607661,1.04336879,#VALUE!,#VALUE!,0.051556219,0.297382679,0.173230439,0.888690704,1.196747967
5,sbmA,16128362,2.003939536,#VALUE!,0.32105018,0.812727626,0.395028014,1.311947802,1.844064386,1.354368932,0.31793908,0.480240127,0.662041887,1.128809194,#VALUE!,#VALUE!,0.075190658,0.447962619,0.167718484,1.344623833,0.978861789
6,nirC,90111575,0.869245096,#VALUE!,0.938134441,0.75501241,1.242541749,0.569081139,1.412474849,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.90121049,0.743987911,1.210372852,0.365806601,1.008130081
7,yqjF,90111539,1.106102299,#VALUE!,2.374878301,1.555795765,1.526471762,0.724147837,1.373239437,1.257281553,2.328435005,2.02878232,1.147700757,0.831344188,#VALUE!,#VALUE!,0.872068027,0.847737118,1.027893168,0.789211842,1.02601626
8,rstB,16129567,0.884025577,#VALUE!,0.069811391,0.322347485,0.216571848,0.578757688,2.040241449,0.398058252,0.00273182,0.05464464,0.049992461,0.262092776,#VALUE!,#VALUE!,0.063427643,0.213711489,0.296557913,0.575202456,1.409756098
12,yhjE,16131395,1.696115516,#VALUE!,3.513564931,2.321138977,1.513724497,1.110420241,1.902917505,1.548543689,0.851197815,0.922461396,0.922746272,1.207236853,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
13,yeeF,90111370,2.877744381,#VALUE!,0.22245454,1.046910427,0.212486698,1.884014137,1.844064386,2.781553398,0.151169698,0.602628675,0.25085049,2.406697924,#VALUE!,#VALUE!,0.033676785,0.748157247,0.044977629,2.466759999,0.995121951
14,proY,16128387,2.228793952,#VALUE!,0.361142322,0.905970341,0.398624884,1.459156463,1.275150905,2.072815534,0.462437033,0.681766996,0.678291903,1.55822856,#VALUE!,#VALUE!,0.073203736,0.692904648,0.105564669,2.183525806,0.78699187
15,aroP,16128105,1.072412092,#VALUE!,0,0.348373527,0,0.702091386,2.059859155,0.606796117,0.008570543,0.118286116,0.072456037,0.556719068,#VALUE!,#VALUE!,0.003264223,0.163977589,0.019890884,0.550555598,1.235772358
16,pheP,16128559,3.247745051,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2.72815534,0.263762704,0.736148515,0.358300939,2.623843209,#VALUE!,#VALUE!,0.113705577,1.037659911,0.109492795,3.26012861,1.204878049
17,cycA,16132030,1.987337793,#VALUE!,0.38577384,0.839942711,0.459285896,1.301078901,1.628269618,1.805825243,0.97351977,1.104704313,0.88124918,1.62892913,#VALUE!,#VALUE!,2.198823968,2.212049105,0.993240714,2.243860692,1.13495935
19,brnQ,16128386,1.321564196,#VALUE!,0.767858516,0.816162429,0.940815809,0.865207364,1.118209256,1.310679612,0.928664909,0.942877255,0.984926621,0.999671024,#VALUE!,#VALUE!,1.325350498,1.260532881,1.050595126,1.104621361,0.97398374
20,atpI,90111645,1.453701046,#VALUE!,0.277526953,0.612055154,0.453434551,0.951715288,2.025974026,2.121359223,0.144770115,0.432953147,0.334378248,1.584557553,#VALUE!,#VALUE!,0.377911787,0.673548037,0.560635608,1.384667936,1.421138211
