clone #,name,gi,von-Heijne O/E,whole cell fluorescence,unfolded exp,total exp,%unfolded,folded exp,dOD600 div dOD600 #6,whole cell fluorescence,unfolded exp,total exp,%unfolded,folded exp,dOD600,whole cell fluorescence,unfolded exp,total exp,%unfolded,folded exp,OD600 at harvest
1,glpT,16130175,2.2731223105,,0.173870582,2.4469928925,7.1054796481,2.2731223105,0.69,294,0.1178202817,1.2765058927,9.2299050363,1.158685611,,,0.1397120221,1.4401769516,9.7010316646,1.3004649295,0.9434
2,yicL,16131530,1.3884582617,,0.2553445492,1.6438028109,15.5337700806,1.3884582617,1.17,312,0.354165469,1.3985559917,25.3236531915,1.0443905227,,,0.1240127121,1.0127034157,12.2457088799,0.8886907036,1.31008
5,sbmA,16128362,2.0039395362,,0.497912258,2.5018517942,19.9017487433,2.0039395362,1.32,279,1.2717563188,2.4016709139,52.9529800064,1.129914595,,,0.1808627099,1.5254865426,11.8560672195,1.3446238327,1.07156
6,nirC,90111575,0.8692450963,,1.4549396532,2.3241847495,62.6,0.8692450963,1.01,,,,,,,,2.1677609279,2.5335675293,85.5616005035,0.3658066014,1.1036
7,yqjF,90111539,1.1061022993,,3.6831657185,4.7892680178,76.904564639,1.1061022993,0.99,259,9.3137400198,10.1458983125,91.7980816775,0.8321582927,,,2.097661996,2.8868738384,72.6620598405,0.7892118424,1.12318
8,rstB,16129567,0.8840255766,,0.1082695145,0.9922950911,10.9110198631,0.8840255766,1.46,82,0.0109272802,0.2732767137,3.9986137493,0.2623494334,,,0.1525680933,0.7277705491,20.9637630344,0.5752024558,1.54326
12,yhjE,16131395,1.6961155159,,5.4491389712,7.1452544871,76.2623498016,1.6961155159,1.37,319,3.4047912589,4.6132103147,73.8052468166,1.2084190558,,,,,,,
13,yeeF,90111370,2.8777443806,,0.3450016509,3.2227460315,10.7052075315,2.8777443806,1.32,573,0.6046787933,3.0137335077,20.0641095762,2.4090547144,,,0.0810057367,2.5477657354,3.1794813604,2.4667599987,1.08936
14,proY,16128387,2.2287939516,,0.5600906037,2.7888845553,20.0829612204,2.2287939516,0.92,427,1.849748133,3.4095026083,54.252726732,1.5597544753,,,0.1760833918,2.3596091981,7.4623963989,2.1835258063,0.86152
15,aroP,16128105,1.0724120921,,0,1.0724120921,0,1.0724120921,1.48,125,0.0342821727,0.5915464149,5.7953478891,0.5572642423,,,0.0078517222,0.55840732,1.4060922684,0.5505555979,1.3528
16,pheP,16128559,3.2477450507,,,,,,,562,1.055050815,3.6814634566,28.6584622503,2.6264126416,,,0.2735060343,3.5336346443,7.7400767717,3.26012861,1.31898
17,cycA,16132030,1.987337793,,0.5982912822,2.5856290752,23.1390994138,1.987337793,1.17,372,3.8940790816,5.5246033618,70.4861295299,1.6305242802,,,5.2890248623,7.5328855546,70.212468037,2.2438606923,1.24244
19,brnQ,16128386,1.3215641963,,1.1908610895,2.5124252858,47.3988657965,1.3215641963,0.80,270,3.7146596355,4.7153096,78.7787006695,1.0006499646,,,3.1879822297,4.2926035907,74.2668677032,1.104621361,1.06622
20,atpI,90111645,1.4537010459,,0.4304126912,1.8841137371,22.8443051358,1.4537010459,1.45,437,0.5790804602,2.1651897119,26.7450217883,1.5861092517,,,0.90902449,2.2936924262,39.6314902401,1.3846679362,1.55572
21,mreD,16131137,0.6823807652,,0.0617423712,0.7441231364,8.2973325453,0.6823807652,1.42,156,0.1496353251,0.7645607902,19.5714097552,0.6149254651,,,0.0248183488,0.4252527969,5.8361400508,0.4004344481,1.42578
22,pgsA,16129859,0.5428377323,,0.3556611837,0.898498916,39.5839301922,0.5428377323,1.41,231,4.0308151291,4.7378094182,85.0776123178,0.706994289,,,1.7326807157,2.2349708312,77.5258760219,0.5022901155,1.26736
23,tatC,16131687,0.6325439677,,0.4454877935,1.0780317612,41.3241807433,0.6325439677,0.89,313,2.6715133778,3.6154562774,73.891458583,0.9439428996,,,0.6356928207,1.574150798,40.3832225931,0.9384579773,1.0502
24,nhaA,16128013,0.8681825691,,0.0780446372,0.9462272063,8.2479806849,0.8681825691,1.41,261,0,1.0370372604,0,1.0370372604,,,0.0884612412,1.4665728406,6.0318341308,1.3781115995,1.47384
25,gltP,16131903,0.5175359736,,0.4434059962,0.9609419698,46.1428483845,0.5175359736,0.55,189,2.2879635154,2.8683591094,79.7655882062,0.5803955939,,,0.2388845571,0.8182334753,29.1951581433,0.5793489182,1.0324
26,shiA,16129925,0.1459323659,,0,0.1459323659,0,0.1459323659,1.54,38,0,0.0857963306,0,0.0857963306,,,0.0088766739,0.1420292267,6.2498924191,0.1331525528,1.4062
27,secY,16131179,0.7879325465,,0.1731049629,0.9610375094,18.0123003704,0.7879325465,1.11,175,0.0293068998,0.3235261013,9.0585889873,0.2942192016,,,0.0123714646,0.3147358394,3.9307454299,0.3023643748,1.19082
28,yifK,49176414,1.2395306035,,0.7001820214,1.9397126249,36.0972039077,1.2395306035,0.66,247,2.2609226411,3.9442438128,57.3220812015,1.6833211716,,,0.3978327656,2.5722781098,15.4661645673,2.1744453442,0.76718
29,ampG,16128418,1.7031406065,,0.2737267991,1.9768674056,13.8464926024,1.7031406065,1.04,513,1.5879148315,3.6085474929,44.0042658336,2.0206326614,,,0.7032382706,3.2210526554,21.8325605278,2.5178143847,1.11784
30,ychM,90111235,0.8408362238,,0.5040332793,1.3448695031,37.4782295334,0.8408362238,1.24,265,0.5336847339,1.303154096,40.9533097876,0.769469362,,,0.2596082463,1.3992554613,18.5533130619,1.139647215,0.9523
31,yjiY,90111739,0.7692756941,,0.263654806,1.0329305001,25.5249318262,0.7692756941,0.90,388,0.4819668896,2.1587408852,22.3262964472,1.6767739957,,,0.1646075943,2.1676264432,7.5939096811,2.0030188489,0.90602
32,yciS,16129240,1.5897740838,,0.3514534111,1.9412274949,18.1046998378,1.5897740838,1.69,607,2.0048337789,4.389570373,45.6726651708,2.3847365941,,,0.3409294666,2.3339201503,14.6075891498,1.9929906837,1.42044
33,yijD,16131802,0.4354869428,,0.6171202659,1.0526072087,58.6277825944,0.4354869428,0.94,343,4.9075307496,6.0814077361,80.6972819876,1.1738769865,,,1.3610092162,2.4711745741,55.0753973625,1.1101653579,1.19616
34,yfdG,16130282,2.2302731313,,1.3587387224,3.5890118537,37.8582957603,2.2302731313,1.42,670,5.1056903762,7.8389528626,65.1323010319,2.7332624864,,,1.9825999909,4.4271313623,44.7829492437,2.4445313714,1.26914
35,yhaH,16130998,2.1162872338,,0.9664277817,3.0827150154,31.3498904964,2.1162872338,0.90,795,4.91166018,7.8056531106,62.9243973616,2.8939929306,,,2.3777371295,5.5180927167,43.0898364998,3.1403555872,1.03596
36,ybaN,16128452,1.2288741506,,2.0441980223,3.2730721729,62.4550243409,1.2288741506,0.83,303,4.6801693531,5.9704588563,78.3887715452,1.2902895032,,,2.8675596912,3.9693699127,72.2421884137,1.1018102215,1.05732
37,ygdD,16130714,0.5776504894,,0.2568090777,0.8344595671,30.7754968379,0.5776504894,1.35,241,2.3604598778,3.1598918905,74.7006530463,0.7994320127,,,1.1695836875,1.7637673778,66.3116747835,0.5941836903,1.45248
38,mscL,16131170,1.0147306482,,1.6027086414,2.6174392896,61.2319318274,1.0147306482,1.23,219,3.1180411958,3.7537453195,83.0648040924,0.6357041237,,,1.7566721163,2.3325390781,75.3115835356,0.5758669618,1.17836
39,ybhQ,16128759,1.8734157168,,1.7869956667,3.6604113835,48.8195309061,1.8734157168,1.31,799,3.9554924837,6.0878277103,64.973791505,2.1323352266,,,4.4322918898,6.372859632,69.5494981184,1.9405677421,1.22642
40,ydgK,90111308,0.9203261944,,0,0.9203261944,0,0.9203261944,1.54,133,0,0.21930809,0,0.21930809,,,0.0054811237,0.263389503,2.0809954844,0.2579083793,1.4418
