title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,X40deltaG,X40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
SSO2938|sp|Q97UR4|gi|1589,0.114,47.4475250244,0.253,0.059,0.2033875,-22.8444329530653,-0.052275590281614,-344.02,2.13046e-20,-24.99,0.0148822,1,0.320186584475,0.25559075,0.37961225,0.322186423529,0.259686169492,0.355407279279,0.291156578947,0.352827388889,0.318918029851,0.3900086,0.217809535714,12,22.3333333333,268,0.611872146119,19,0.0433789954338,-0.229908675799,-2.33684210526,-1.86341463415,2.92926829268,5,0.41,NA,NA,-0.416315789474,-0.447313512949,1.174,-0.13325,0.533684210526,15.7188838269,17.87875,16.2535,19.172,14.857,22,0.198198,17,0.153153,3,0.050847,3,0.050847,8,5,2,1,2,2,5,26,0.0593607305936,28,0.0639269406393,1,438,48552.8518,9.38214111328,0.164383561644,3.0,0.505461037264,0.540032833108,0.407747588334,0.477994929498,0.59993189498,0.704599988797,0.574696295055,0.0605051403853,0.491112098125,0.679537650004,0.977563518963,71,0.0615315148903,1,0.0494407158837,1,0.0434004474273,0,0.00990731863215,0.02819196,0.5187552,0.19100645,0.2833626,0.358390280942,-0.294959968039,0.1,0.3,0.4,0.7
SSO2528|sp|Q97VT2|gi|1589,0.145,46.2769470215,0.250,0.062,0.2186438,-22.5069995009047,-0.0529576458844818,-352.42,4.64325e-19,-26.91,0.0199761,0,0.338967392019,0.28221175,0.399216,0.340429598726,0.382198928571,0.325174713043,0.263172818182,0.302256133333,0.33811398513,0.4408114,0.367033875,12,22.4166666667,269,0.631455399061,11,0.0258215962441,-0.402816901408,-2.19473684211,-1.8512195122,1.46829268293,5,0.9,NA,NA,-0.388076923077,-0.309008931849,0.208,0.704833333333,1.12090909091,15.7349648712,19.163,20.93,29.52,21.75,25,0.217391,14,0.121739,3,0.071429,1,0.023810,7,3,0,0,2,2,5,32,0.075117370892,11,0.0258215962441,1,426,45935.1136,9.50445556641,0.136150234742,2.91666666667,0.783846237721,0.736747792761,0.495747704339,0.622829416275,0.827474584193,0.879045777127,0.642148106572,0.141097013792,0.525322522809,0.76146176118,0.996286341604,57,0.061980287873,0,0.031096196868,1,0.0733780760626,0,0.0239693192713,0.02819196,0.5187552,0.1896766,0.28149525,0.370804059329,-0.270539075017,0.133333333333,0.3,0.433333333333,0.6
SSO2042|sp|Q97WS4|gi|1589,0.121,45.5530319214,0.289,0.06,0.2279084,-36.5729911695604,-0.0744867437261923,-378.07,8.4483e-20,-13.99,0.0207044,0,0.319747886179,0.27043525,0.362373,0.334493589744,0.317999106667,0.342274006289,0.394371930233,0.3315495,0.306373875969,0.3125414,0.394371930233,12,21.5,258,0.524390243902,43,0.0873983739837,-0.196544715447,-2.29473684211,-1.71463414634,1.68292682927,5,0.3,NA,NA,-0.2616,-0.408917475488,1.874,0.122083333333,0.58976744186,15.8167139959,18.079,19.4845,26.434,21.202,26,0.163522,16,0.100629,2,0.026667,5,0.066667,3,5,0,2,3,5,5,43,0.0873983739837,24,0.0487804878049,1,492,54488.8141,8.43304443359,0.132113821138,2.33333333333,0.247006549857,0.389441833743,0.128736115507,0.2822575255,0.537451580824,0.593320545903,0.565176193991,0.0409662688259,0.444223569935,0.689087173623,0.994460866193,43,0.0507875633475,0,0.0304250559284,1,0.058836689038,0,0.0207734100352,0.02819196,0.5187552,0.1896766,0.2813227,0.371196754564,-0.269766548875,0.166666666667,0.333333333333,0.4,0.666666666667
SSO1665|sp|Q97XP6|gi|1589,0.141,49.4126205444,0.275,0.061,0.2208499,-35.1836295883035,-0.0778398884696979,-373.07,4.42925e-20,-22.63,0.0139564,0,0.324890969095,0.253718,0.373045,0.351738961538,0.290028467742,0.383622716667,0.570227166667,0.3849617,0.306860214022,0.227628181818,0.570227166667,12,22.5833333333,271,0.598233995585,24,0.0529801324503,-0.376158940397,-2.24210526316,-1.76829268293,1.89024390244,11,0.0463636363636,NA,NA,-0.389565217391,-0.275171773319,0.846,0.581166666667,1.38666666667,15.5481277533,19.2995,21.486,14.486,20.422,24,0.200000,13,0.108333,3,0.048387,3,0.048387,5,6,3,0,5,6,11,24,0.0529801324503,19,0.0419426048565,1,453,48815.9126,8.70501708984,0.139072847682,3.25,0.383299573994,0.443039535355,0.196062393095,0.317187758228,0.57921768277,0.699901403432,0.613009801323,0.154953361602,0.513206037926,0.71954264896,0.993074856987,85,0.0725109996677,1,0.0345637583893,1,0.0846756152125,0,0.0204538191115,0.02819196,0.5187552,0.1896766,0.28275475,0.383259911894,-0.246035411949,0.133333333333,0.333333333333,0.433333333333,0.6
Saci2039|sp|Q4J795|gi|706,0.139,43.3619155884,0.214,0.056,0.2248747,-31.7807895645189,-0.0700017391288962,-374.80,2.75498e-17,-21.97,0.0111305,1,0.330603571429,0.2519345,0.3737685,0.37435877512,0.424751636364,0.344962939394,0.650712884615,0.4229936,0.293429434959,0.227246363636,0.36639358,11,22.3636363636,246,0.540659340659,26,0.0571428571429,-0.405054945055,-2.38947368421,-1.83414634146,2.08780487805,11,0.0463636363636,NA,NA,-0.35347826087,-0.323467217946,0.395,0.142181818182,1.56115384615,15.9337938596,20.2705,25.4195,28.818,25.458,17,0.128788,10,0.075758,10,0.129870,9,0.116883,5,3,6,7,6,7,11,50,0.10989010989,26,0.0571428571429,1,455,48808.9812,8.87689208984,0.142857142857,3.45454545455,0.145390604882,0.35650190165,0.144123552894,0.193466736517,0.492436496211,0.579117684795,0.62326409314,0.131735482976,0.540306583431,0.712036721923,0.936974193069,76,0.0704870833765,0,0.0548098434004,1,0.114317673378,0,0.0648769574944,0.02819196,0.5187552,0.1896766,0.282462,0.369152046784,-0.273788981724,0.133333333333,0.3,0.433333333333,0.6
MA1518|sp|Q8TQM2|gi|20088,0.205,50.6777381897,0.488,0.097,0.2602783,-18.0173017354433,-0.0369207002775477,-494.26,8.84254e-21,-29.01,0.0020606,0,0.309374993865,0.238089,0.378801,0.329191917051,0.325001275,0.334376216495,0.254543909091,0.3854488,0.293565169118,0.208556545455,0.297187352941,12,22.6666666667,272,0.556237218814,11,0.0224948875256,-0.171779141104,-2.31578947368,-1.47073170732,0.907317073171,11,0.466363636364,NA,NA,-0.1075,-0.3454376354,1.726,0.31075,0.428181818182,18.5553877551,17.45025,17.689,24.366,19.289,21,0.216495,12,0.123711,9,0.075000,15,0.125000,5,1,2,3,2,1,11,20,0.040899795501,34,0.0695296523517,-1,489,53708.7746,6.21185302734,0.147239263804,2.83333333333,0.774580632791,0.638778158626,0.261532084134,0.545871413756,0.762154006166,0.863476704394,0.643303628037,0.0235039806554,0.528246857072,0.775028758105,0.988418222184,103,0.0826040819702,1,0.088255033557,1,0.0392617449664,1,0.0316395014382,0.02819196,0.5187552,0.18930175,0.281073775,0.468027210884,-0.0792777112879,0.233333333333,0.4,0.533333333333,0.7
MJ1319|sp|Q58715|gi|15668,0.149,39.2461090088,0.196,0.045,0.2218824,-40.2168900056991,-0.0819081262845196,-378.51,1.93822e-22,-20.45,0.018712,0,0.327411327236,0.27558575,0.37831475,0.328248171569,0.304723660714,0.356886706522,0.480984363636,0.454333666667,0.3268185625,0.197285909091,0.379371314286,12,24.0,288,0.585365853659,11,0.0223577235772,-0.520325203252,-2.37894736842,-1.5512195122,0.89756097561,11,0.0718181818182,NA,NA,-0.0863636363636,-0.42965830121,1.701,-0.894416666667,0.615454545455,16.1843002028,16.49825,17.845,23.78,20.794,24,0.260870,10,0.108696,6,0.053571,10,0.089286,6,2,3,2,1,2,11,20,0.0406504065041,35,0.0711382113821,-1,492,53466.8817,8.65863037109,0.14837398374,2.75,0.338398605212,0.448471299456,0.238447896275,0.315660910496,0.569056145956,0.741579887739,0.621498091222,0.158114673978,0.527626177631,0.71306163716,0.967886486812,73,0.0624663288134,1,0.0969798657718,1,0.0420581655481,1,0.039309683605,0.02819196,0.5187552,0.1896766,0.2813227,0.337390128465,-0.336272327666,0.133333333333,0.3,0.4,0.533333333333
Mevan1511|sp|A6USD3|gb|CP,0.174,41.9468536377,0.201,0.071,0.2312272,-3.34425844443461,-0.00811713214668594,-342.33,5.34408e-19,-25.67,0.00681461,0,0.379938598063,0.349591,0.407365,0.385594711538,0.389685604167,0.383776537037,0.4230176,0.282647,0.376505315175,0.320540833333,0.402881603175,11,23.3636363636,257,0.622276029056,5,0.0121065375303,-0.630266343826,-2.30526315789,-1.64634146341,1.01463414634,6,0.508333333333,NA,NA,-0.136666666667,-0.254889689361,1.599,0.797,0.472,17.7115217391,17.679,15.912,14.918,15.541,14,0.129630,11,0.101852,5,0.104167,2,0.041667,4,6,1,0,2,0,6,63,0.152542372881,11,0.0266343825666,1,413,43054.272,8.98492431641,0.0799031476998,3.09090909091,0.330802235789,0.480904442982,0.255961210392,0.396462907577,0.596805537613,0.665819397037,0.643359367599,0.0993955106007,0.534686307567,0.759798181912,0.992703575549,54,0.0589275897168,1,0.0791946308725,1,0.0430648769575,0,0.0290827740492,0.02819196,0.5187552,0.19073475,0.282089075,0.360708534622,-0.290399404498,0.166666666667,0.3,0.433333333333,0.633333333333
MMP0681|sp|Q6LZE8|gi|4535,0.176,35.7978134155,0.210,0.073,0.2350959,-15.8893248710487,-0.0385663225025453,-339.21,1.1983e-17,-23.82,0.00456319,0,0.376979745763,0.334541,0.41422,0.376069140244,0.36615936,0.380415535088,0.355817181818,0.314251666667,0.377579502008,0.4156188,0.395539873016,12,20.75,249,0.602905569007,11,0.0266343825666,-0.584987893462,-2.18421052632,-1.6512195122,1.04146341463,5,0.526,NA,NA,-0.155789473684,-0.188834250756,1.672,1.4045,0.377272727273,17.5184299517,16.45925,16.1565,16.832,15.092,18,0.157895,11,0.096491,2,0.040000,4,0.080000,5,7,1,1,3,0,5,63,0.152542372881,19,0.046004842615,1,413,42918.0579,7.69561767578,0.0750605326877,3.0,0.297120627745,0.432722973149,0.136667502257,0.34804825715,0.551885099911,0.600534355146,0.611143949574,0.0992807783522,0.491250271246,0.733239492305,0.983512772085,58,0.0585846709885,1,0.0508948545861,1,0.0895973154362,0,0.00415468200703,0.02819196,0.5187552,0.19073475,0.282089075,0.381642512077,-0.24921722708,0.1,0.333333333333,0.433333333333,0.633333333333
Hbor39700|sp|E4NW64|gb|CP,0.210,41.3788375854,0.678,0.194,0.2685061,-28.7403392714151,-0.0624789984161199,-591.72,2.21092e-16,-38.27,0.0411239,2,0.374552663774,0.303097,0.409127,0.412652176796,0.341085928571,0.434276510791,0.3191180625,0.5278634,0.34992405,0.282865,0.474621559322,12,23.3333333333,280,0.60737527115,16,0.0347071583514,-0.119956616052,-2.51052631579,-2.13170731707,3.35365853659,5,1.33,NA,NA,-0.241333333333,-0.237736401496,-0.05,0.538416666667,0.57125,18.7551731602,18.24975,18.6945,16.596,21.223,27,0.194245,22,0.158273,0,0.000000,6,0.142857,11,11,0,2,1,1,5,59,0.127982646421,11,0.0238611713666,1,461,48301.3245,5.46771240234,0.0824295010846,3.25,0.15003651178,0.516598295501,0.133617993376,0.30443874271,0.773116209841,0.892268644051,0.664889148827,0.106034194617,0.559906332597,0.790802354235,0.995656063716,105,0.086073703655,1,0.0901565995526,1,0.109172259508,1,0.0757430488974,0.02819196,0.5187552,0.189442375,0.28265035,0.582972582973,0.146847530161,0.3,0.533333333333,0.633333333333,0.8
