title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,40deltaG,40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
NuoK|XK|gb|U00096.3:c2395,0.328,43.9657287598,0.638,0.18,0.3294064,4.37412931256142,0.0441831243693073,-110.82,0.000152073,-28.24,0.0596904,0,0.42852144,0.36642975,0.506249,0.504131212121,0.3697737,0.562547521739,0.431208,0.589767526316,0.39128080597,0.4332525,0.589767526316,3,22.3333333333,67,0.67,5,0.05,-0.058,-2.07368421053,-1.17317073171,0.990243902439,4,0.805,NA,NA,-0.34,-0.250734265734,-1.132,-0.490333333333,-0.426,23.9428,23.69325,19.2705,15.346,17.728,7,0.304348,2,0.086957,0,0.000000,1,0.100000,5,2,0,0,0,0,4,19,0.19,5,0.05,1,100,10844.8939,8.38055419922,0.06,2.33333333333,0.500443319146,0.518639719484,0.168916585735,0.437240015057,0.589878947762,0.842792189814,0.606754824786,0.12854040912,0.489930018435,0.743164235829,0.999169457459,16,0.0694896100002,0,0.0514541387025,1,0.122483221477,0,0.0508149568552,0.06944504,0.5476396,0.2286471,0.308365775,0.55,0.0819825151507,0.3,0.466666666667,0.633333333333,0.8
YaiY|XK|gb|U00096.3:c3993,0.242,52.2308959961,0.557,0.173,0.2749067,7.53415828956406,0.0745956266293471,-111.72,2.16961e-05,-33.98,0.0152614,0,0.360337245098,0.2758075,0.4253545,0.42595134,0.380664578947,0.453707741935,0.512245,0.253008571429,0.297246769231,0.380664578947,0.512245,2,26.0,52,0.509803921569,24,0.235294117647,0.205882352941,-2.44210526316,-0.682926829268,0.624390243902,19,0.877894736842,0.877894736842,0.877894736842,-0.412083333333,-0.454613095238,-0.276,-1.658,0.487083333333,21.9494117647,21.76,22.1215,22.258,25.401,8,0.258065,1,0.032258,3,0.157895,3,0.157895,3,1,3,3,3,1,19,24,0.235294117647,19,0.186274509804,1,102,11424.3572,9.88739013672,0.137254901961,3.5,0.517469303611,0.500329136957,0.263315811528,0.373936605401,0.622970922997,0.736579005809,0.591789865543,0.139226223577,0.484096304437,0.709383181661,0.902907079493,21,0.08480780964,1,0.0703579418345,1,0.0793064876957,1,0.185043144775,0.06944504,0.5476396,0.2287167,0.308640675,0.529411764706,0.041480495867,0.366666666667,0.466666666667,0.566666666667,0.7
YciS|XK|gb|U00096.3:13402,0.256,58.2344169617,0.556,0.167,0.2501688,7.18285778770881,0.0711174038387011,-105.83,0.000107359,-29.85,0.0159756,0,0.448646107843,0.296221,0.58135575,0.506927724138,0.305068913043,0.6395778,0.380041931818,0.6395778,0.289340652174,NA,NA,1,23.0,23,0.225490196078,23,0.225490196078,0.389215686275,-2.48947368421,-0.680487804878,2.0756097561,35,0.936571428571,0.565789473684,1.17263157895,-0.499130434783,-0.499130434783,-2.879,-2.879,0.37,21.6524509804,22.06175,21.0665,20.11,23.449,8,0.228571,4,0.114286,1,0.043478,2,0.086957,8,4,1,2,1,2,NA,35,0.343137254902,23,0.225490196078,1,102,11351.3351,9.64935302734,0.107843137255,3.0,0.246574005053,0.501481423784,0.207672369227,0.303607353675,0.759279894094,0.876565152674,0.605047921412,0.0362534825845,0.509374003817,0.744148319246,0.931639267916,28,0.0941405102479,1,0.125503355705,1,0.12841163311,NA,NA,0.06944504,0.5476396,0.2287167,0.308640675,0.503267973856,-0.00995063973135,0.233333333333,0.466666666667,0.566666666667,0.7
YjcH|XK|gb|U00096.3:c4285,0.254,50.9582138062,0.550,0.154,0.3177853,5.97492519095811,0.0580089824364865,-91.15,5.60942e-06,-26.83,0.019512,0,0.385117846154,0.30715075,0.46401325,0.424019672727,0.466058545455,0.413509954545,0.464725333333,0.3520515,0.341452530612,0.466058545455,0.464725333333,2,24.5,49,0.471153846154,24,0.230769230769,0.575961538462,-2.48947368421,-1.3,1.25853658537,11,0.239090909091,NA,NA,-0.625185185185,-0.473047138047,-3.933,-2.364,1.04166666667,21.9759615385,21.901,20.841,23.704,21.457,9,0.204545,8,0.181818,0,0.000000,0,0.000000,6,4,0,0,6,4,11,24,0.230769230769,11,0.105769230769,1,104,11671.4667,6.71881103516,0.105769230769,4.0,0.688521250982,0.607151924309,0.389528878987,0.556312258336,0.689554094372,0.781621354099,0.59898107139,0.290858481212,0.504779394198,0.675485701569,0.991730448314,18,0.0737369038917,1,0.0485458612975,1,0.0654362416107,1,0.0578459571748,0.06944504,0.5476396,0.2287515,0.309458775,0.49358974359,-0.0289900505057,0.333333333333,0.433333333333,0.566666666667,0.833333333333
YiaW|XK|gb|U00096.3:c3754,0.250,46.1314582825,0.475,0.116,0.2825175,3.896138287875,0.0367560215837264,-96.02,2.99066e-05,-29.88,0.240688,0,0.398978364486,0.314085,0.507403,0.472357129032,0.401097105263,0.503844116279,0.37785975,0.516765589744,0.297878733333,0.401097105263,0.516765589744,2,22.5,45,0.420560747664,4,0.0373831775701,0.35046728972,-2.6,-0.253658536585,1.96585365854,19,0.999473684211,0.999473684211,0.999473684211,-0.686818181818,-0.665583003953,-3.532,-2.2465,0.0025,20.7653271028,23.254,23.186,24.796,24.719,6,0.139535,6,0.139535,6,0.315789,2,0.105263,6,5,6,2,0,1,19,39,0.364485981308,19,0.177570093458,1,107,12408.4332,7.02020263672,0.14953271028,2.0,0.328802465152,0.485385984142,0.254230261172,0.37581030343,0.585835343365,0.756623546141,0.548026982163,0.248835434416,0.42838441334,0.665290174065,0.856574111105,22,0.0735673722251,0,0.0290827740492,1,0.0888143176734,1,0.146053052093,0.06944504,0.5476396,0.22902825,0.311384,0.470404984424,-0.0746000578433,0.233333333333,0.366666666667,0.566666666667,0.733333333333
YafU|XK|gb|U00096.3:c2390,0.189,48.4337463379,0.224,0.072,0.2323489,-5.3448656044623,-0.0481519423825432,-86.83,4.97609e-06,-33.14,0.00196427,0,0.383181401786,0.311728,0.43233375,0.403341054795,0.3316284,0.408614044118,0.45134815,0.390808166667,0.345446666667,0.3316284,0.390808166667,2,19.5,39,0.348214285714,20,0.178571428571,0.592857142857,-2.23684210526,-1.99512195122,3.10731707317,5,-0.116,NA,NA,0.0833333333333,-0.144047619048,3.16,1.293,0.743,19.6657142857,21.03825,23.5085,12.496,20.56,11,0.161765,11,0.161765,0,0.000000,0,0.000000,9,7,0,0,2,4,5,48,0.428571428571,5,0.0446428571429,1,112,12136.1215,5.70709228516,0.0803571428571,3.5,0.476487902762,0.55337277413,0.361787092125,0.468795762628,0.630292752883,0.715915521141,0.574542681415,0.125530095776,0.45924486273,0.700691731033,0.989422939179,12,0.0687970773557,1,0.0883668903803,1,0.0908277404922,0,0.0246085011186,0.06944504,0.5476396,0.228889875,0.31199975,0.392857142857,-0.227155346321,0.133333333333,0.333333333333,0.433333333333,0.566666666667
AfuB|XK|gb|U00096.3:c2791,0.403,31.7672634125,0.688,0.216,0.3592325,13.3826363154577,0.117391546626822,-115.15,4.66961e-05,-36.32,0.0320647,0,0.362387695652,0.26391,0.439426,0.418251276923,0.281425052632,0.474766456522,0.4704633125,0.484602214286,0.28976504,0.281425052632,0.4704633125,2,25.0,50,0.434782608696,32,0.278260869565,0.438260869565,-2.41578947368,-0.829268292683,0.69756097561,19,0.95,0.95,0.95,-0.354583333333,-0.420945512821,1.415,-1.2155,0.405625,25.0828695652,26.51425,24.601,25.226,25.791,9,0.195652,4,0.086957,2,0.105263,4,0.210526,5,3,2,4,5,3,19,32,0.278260869565,19,0.165217391304,1,115,12609.7069,9.21856689453,0.0782608695652,1.0,0.470599626694,0.482830081249,0.269524089788,0.386373883824,0.570862330421,0.711505656018,0.578901176782,0.19519697932,0.466635254141,0.696381942833,0.947499287492,14,0.0609819431128,1,0.0523489932886,0,0.0429530201342,1,0.14221796101,0.06944504,0.5476396,0.22962965,0.31322725,0.56231884058,0.106216642631,0.366666666667,0.5,0.633333333333,0.8
YhaI|XK|gb|U00096.3:32529,0.294,57.9229431152,0.432,0.127,0.29935,3.50134999131439,0.0299260683018324,-95.93,0.000127028,-23.31,0.0327868,1,0.377169254237,0.277038,0.46482825,0.422539057692,0.296483777778,0.55867876,0.288455954545,0.606471736842,0.341423348485,0.407334333333,0.288455954545,3,22.0,66,0.559322033898,22,0.186440677966,0.186440677966,-2.61578947368,-1.4487804878,0.665853658537,6,0.17,NA,NA,-0.491666666667,-0.530525252525,-0.077,-1.21333333333,0.485909090909,20.0058474576,20.369,18.2655,18.392,17.924,2,0.080000,3,0.120000,6,0.222222,3,0.111111,2,2,5,1,5,1,6,19,0.161016949153,22,0.186440677966,1,118,13455.7419,9.51385498047,0.161016949153,2.0,0.582117112942,0.510947778461,0.317011705721,0.428559446584,0.584549675489,0.701567044175,0.531635144377,0.0178241264633,0.420395943977,0.658799849505,0.897071682319,9,0.0505398307558,1,0.0553691275168,1,0.0371364653244,0,0.01502077341,0.06944504,0.5476396,0.230267275,0.3098249,0.45197740113,-0.110851554062,0.233333333333,0.4,0.533333333333,0.666666666667
YijD|XK|gb|U00096.3:41617,0.398,43.8241882324,0.500,0.16,0.3368949,11.4217594814998,0.0967945718771167,-115.72,9.67749e-06,-28.56,0.00500945,0,0.357180991597,0.322573,0.3915905,0.366443416667,0.314075785714,0.399768272727,0.360049228571,0.393759545455,0.345029964912,0.405777,0.405777,3,19.0,57,0.478991596639,9,0.0756302521008,0.000840336134454,-2.11578947368,-1.86585365854,1.07804878049,11,0.335454545455,NA,NA,-0.385625,-0.348121031746,1.905,1.03066666667,-0.521111111111,22.2645378151,22.3265,23.781,22.61,19.72,6,0.272727,2,0.090909,0,0.000000,2,0.142857,2,0,0,0,0,0,11,11,0.0924369747899,9,0.0756302521008,1,119,13023.3549,9.44232177734,0.109243697479,2.33333333333,0.356693789791,0.424009665632,0.202503600786,0.289922743395,0.504255343885,0.778099833471,0.618366884847,0.245145761965,0.531436439961,0.729961077621,0.889442739633,20,0.071858366119,1,0.034451901566,1,0.0585011185682,1,0.146692233941,0.06944504,0.5476396,0.23018715,0.3099341,0.495798319328,-0.0246452499023,0.333333333333,0.466666666667,0.533333333333,0.733333333333
YfdG|XK|gb|U00096.3:24678,0.276,59.8966979980,0.487,0.114,0.254815,-13.2311035810766,-0.111185744378795,-113.13,2.13088e-05,-36.93,0.0227918,0,0.293042616667,0.240771,0.34449225,0.285054571429,0.286686,0.28454475,0.248327363636,0.3067455,0.297343871795,0.2342898,0.248327363636,4,19.5,78,0.65,11,0.0916666666667,-0.5775,-2.02631578947,-1.31707317073,-0.0829268292683,5,0.94,NA,NA,-0.281052631579,-0.245065789474,1.769,1.71925,0.00909090909091,17.48825,18.0005,18.2545,15.424,15.345,7,0.218750,1,0.031250,2,0.200000,1,0.100000,2,0,1,0,2,0,5,11,0.0916666666667,5,0.0416666666667,1,120,13225.6018,9.67181396484,0.175,2.25,0.276686093096,0.552766703204,0.259689549795,0.39931015773,0.698860486548,0.823458636245,0.576093125083,0.11748746746,0.488398652624,0.684667299242,0.90867557112,21,0.0708808963843,1,0.0657718120805,1,0.0595078299776,0,0.00862895493768,0.06944504,0.5476396,0.230107025,0.309466825,0.461111111111,-0.0928833458837,0.3,0.433333333333,0.525,0.666666666667
