Entry,wormbase CDS,Entry name,fragment,Status,Protein names,Gene names,Organism,Length,Taxonomic lineage (ALL),Glycosylation,Transmembrane,Cross-reference (PDB),Sequence uncertainty,Sequence conflict,Sequence caution,Disulfide bond,Cross-reference (Pfam),Cross-reference (GeneID),Cross-reference (UniGene),Cross-reference (RefSeq),Cross-reference (GenBank),Cross-reference (WormBase)
Q9XWD6,Y47H9C.4a,CED1_CAEEL,Err:504,reviewed,Cell death abnormality protein 1,ced-1 Y47H9C.4,Caenorhabditis elegans,1111,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans","CARBOHYD 66 66 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 333 333 N-linked (GlcNAc...). {ECO:0000269|PubMed:12754521, ECO:0000269|PubMed:17761667}.; CARBOHYD 345 345 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 456 456 N-linked (GlcNAc...). {ECO:0000255}.",TRANSMEM 911 931 Helical. {ECO:0000255}.,,,,,DISULFID 45 106 {ECO:0000255}.; DISULFID 71 80 {ECO:0000255}.; DISULFID 105 117 {ECO:0000255}.; DISULFID 121 130 {ECO:0000255}.; DISULFID 125 136 {ECO:0000255}.; DISULFID 138 147 {ECO:0000255}.; DISULFID 160 172 {ECO:0000255}.; DISULFID 166 179 {ECO:0000255}.; DISULFID 181 190 {ECO:0000255}.; DISULFID 203 215 {ECO:0000255}.; DISULFID 209 221 {ECO:0000255}.; DISULFID 223 232 {ECO:0000255}.; DISULFID 245 257 {ECO:0000255}.; DISULFID 251 264 {ECO:0000255}.; DISULFID 266 275 {ECO:0000255}.; DISULFID 425 439 {ECO:0000255}.; DISULFID 431 446 {ECO:0000255}.; DISULFID 448 457 {ECO:0000255}.; DISULFID 685 697 {ECO:0000255}.; DISULFID 691 704 {ECO:0000255}.; DISULFID 706 715 {ECO:0000255}.,PF00053;,173064;,Cel.7093;,NP_001021772.1;NP_001021773.1;NP_001076621.1;NP_740922.1;,,Y47H9C.4a;Y47H9C.4b;Y47H9C.4c;Y47H9C.4d;
Q9BMK9,E04F6.11a,CLH3_CAEEL,Err:504,reviewed,Chloride channel protein clh-3,clh-3 clc-3 E04F6.11,Caenorhabditis elegans,1001,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 49 85 Helical. {ECO:0000305}.; TRANSMEM 91 117 Helical. {ECO:0000305}.; TRANSMEM 142 160 Helical. {ECO:0000305}.; TRANSMEM 167 185 Helical. {ECO:0000305}.; TRANSMEM 238 258 Helical. {ECO:0000305}.; TRANSMEM 285 313 Helical. {ECO:0000305}.; TRANSMEM 322 341 Helical. {ECO:0000305}.; TRANSMEM 405 425 Helical. {ECO:0000305}.; TRANSMEM 433 456 Helical. {ECO:0000305}.; TRANSMEM 507 524 Helical. {ECO:0000305}.,,,,,,PF00571;PF00654;,174187;,Cel.19436;,NP_001022060.1;,,E04F6.11a;
Q8I4N4,#N/A,DAF11_CAEEL,Err:504,reviewed,Receptor-type guanylate cyclase daf-11 (EC 4.6.1.2) (Abnormal dauer formation protein 11),daf-11 B0240.3,Caenorhabditis elegans,1077,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 14 14 N-linked (GlcNAc...). {ECO:0000255|PROSITE-ProRule:PRU00498}.; CARBOHYD 112 112 N-linked (GlcNAc...). {ECO:0000255|PROSITE-ProRule:PRU00498}.; CARBOHYD 149 149 N-linked (GlcNAc...). {ECO:0000255|PROSITE-ProRule:PRU00498}.; CARBOHYD 311 311 N-linked (GlcNAc...). {ECO:0000255|PROSITE-ProRule:PRU00498}.,TRANSMEM 335 355 Helical. {ECO:0000255}.,,,,,,PF01094;PF00211;PF00069;,179605;,Cel.5295;,NP_505960.3;,,B0240.3;
Q9Y0A1,F33D4.2a,ITPR_CAEEL,Err:504,reviewed,"Inositol 1,4,5-trisphosphate receptor itr-1 (IP3 receptor) (IP3R) (InsP3R) (LET-23 fertility effector 1)",itr-1 dec-4 lfe-1 F33D4.2,Caenorhabditis elegans,2892,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 2476 2496 Helical. {ECO:0000255}.; TRANSMEM 2515 2535 Helical. {ECO:0000255}.; TRANSMEM 2573 2593 Helical. {ECO:0000255}.; TRANSMEM 2616 2636 Helical. {ECO:0000255}.; TRANSMEM 2736 2756 Helical. {ECO:0000255}.,,,,,,PF08709;PF00520;PF02815;PF08454;PF01365;,177546;,Cel.18369;,NP_001023170.1;NP_001023171.1;NP_001023172.1;NP_001023173.1;NP_001023174.1;NP_001255305.1;,,F33D4.2a;F33D4.2d;F33D4.2e;F33D4.2f;F33D4.2g;F33D4.2h;
P34546,R10E11.2,VATL2_CAEEL,Err:504,reviewed,V-type proton ATPase 16 kDa proteolipid subunit 2/3 (V-ATPase 16 kDa proteolipid subunit 2/3) (Vacuolar proton pump 16 kDa proteolipid subunit 2/3),vha-2 R10E11.2; vha-3 Y38F2AL.4,Caenorhabditis elegans,161,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 16 36 Helical. {ECO:0000255}.; TRANSMEM 59 79 Helical. {ECO:0000255}.; TRANSMEM 99 119 Helical. {ECO:0000255}.; TRANSMEM 138 158 Helical. {ECO:0000255}.,,,,,,PF00137;,177018;187779;,Cel.19589;Cel.7940;,NP_499166.1;NP_500188.1;,,R10E11.2;Y38F2AL.4;
Q10651,C42D8.8a,A4_CAEEL,Err:504,reviewed,Beta-amyloid-like protein,apl-1 C42D8.8,Caenorhabditis elegans,686,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 84 84 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 201 201 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 249 249 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 417 417 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 622 642 Helical. {ECO:0000255}.,2M05;3K66;3K6B;,,,,DISULFID 42 65 {ECO:0000250}.; DISULFID 76 119 {ECO:0000250}.; DISULFID 101 108 {ECO:0000250}.; DISULFID 135 195 {ECO:0000250}.; DISULFID 146 182 {ECO:0000250}.; DISULFID 160 194 {ECO:0000250}.,PF10515;PF12924;PF12925;PF02177;,180783;,Cel.6164;,NP_508870.3;NP_508871.1;,,C42D8.8a;C42D8.8b;
P48180,#N/A,ACH1_CAEEL,Err:504,reviewed,Acetylcholine receptor subunit alpha-type acr-16,acr-16 Ce21 F25G6.3,Caenorhabditis elegans,498,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 43 43 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 93 93 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 231 252 Helical. {ECO:0000255}.; TRANSMEM 261 279 Helical. {ECO:0000255}.; TRANSMEM 295 314 Helical. {ECO:0000255}.; TRANSMEM 473 493 Helical. {ECO:0000255}.,,,,,DISULFID 147 161 {ECO:0000250}.; DISULFID 211 212 Associated with receptor activation. {ECO:0000250}.,PF02931;PF02932;,179235;,Cel.18045;,NP_001023847.1;NP_505207.1;,,F25G6.3a;F25G6.3b;
G5EG88,F59B1.9,ACH23_CAEEL,Err:504,reviewed,Betaine receptor acr-23 (Acetylcholine receptor subunit alpha-type acr-23),acr-23 5E130 F59B1.9,Caenorhabditis elegans,545,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 53 53 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 97 97 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 228 228 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 276 276 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 245 265 Helical. {ECO:0000255}.; TRANSMEM 287 307 Helical. {ECO:0000255}.; TRANSMEM 317 337 Helical. {ECO:0000255}.; TRANSMEM 513 533 Helical. {ECO:0000255}.,,,,,DISULFID 157 171 {ECO:0000250|UniProtKB:P02708}.; DISULFID 224 225 Associated with receptor activation. {ECO:0000250|UniProtKB:P02708}.,PF02931;PF02932;,191606;,Cel.9478;,NP_504024.2;,,F59B1.9;
P54244,K03B8.9,ACH3_CAEEL,Err:504,reviewed,Acetylcholine receptor subunit alpha-type deg-3,deg-3 K03B8.9,Caenorhabditis elegans,564,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 25 25 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 37 37 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 125 125 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 198 198 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 269 289 Helical. {ECO:0000255}.; TRANSMEM 302 319 Helical. {ECO:0000255}.; TRANSMEM 329 353 Helical. {ECO:0000255}.; TRANSMEM 527 547 Helical. {ECO:0000255}.,,,,,DISULFID 185 199 {ECO:0000250}.; DISULFID 248 249 {ECO:0000250}.,PF02931;PF02932;,3565200;,Cel.34237;Cel.39272;,NP_505897.1;,,K03B8.9;
Q9U298,Y48B6A.4,ACH8_CAEEL,Err:504,reviewed,Neuronal acetylcholine receptor subunit eat-2 (Abnormal pharyngeal pumping eat-2),eat-2 Y48B6A.4,Caenorhabditis elegans,474,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 95 95 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 238 258 Helical. {ECO:0000255}.; TRANSMEM 266 286 Helical. {ECO:0000255}.; TRANSMEM 303 323 Helical. {ECO:0000255}.; TRANSMEM 441 461 Helical. {ECO:0000255}.,,,,,DISULFID 149 163 {ECO:0000250|UniProtKB:P22770}.,PF02931;PF02932;,175072;,Cel.8968;,NP_496959.1;,,Y48B6A.4;
