title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,X40deltaG,X40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
Rv2684|arsA:_1290_bp_-_PR,0.244,41.1073608398,0.839,0.226,0.3100909,-24.5793342666888,-0.0574283510903943,-602.98,2.67657e-15,-46.67,0.00687392,0,0.35414162704,0.31508,0.393946,0.342163797688,0.353153828283,0.327460918919,0.339277666667,0.196621666667,0.369129865471,0.434983727273,0.360758807692,10,22.3,223,0.563131313131,23,0.0536130536131,-0.325874125874,-2.21052631579,-1.5243902439,1.43414634146,11,0.93,NA,NA,-0.275185185185,-0.207246552181,0.211,0.715,0.476956521739,22.0031860465,23.8875,24.415,20.656,19.738,12,0.162162,12,0.162162,8,0.080808,10,0.101010,3,7,2,4,2,4,11,26,0.0656565656566,52,0.131313131313,1,429,45187.2041,5.65509033203,0.0769230769231,2.7,0.88673906374,0.631614696877,0.284805842502,0.532072248866,0.756994769724,0.903799666051,0.668343629753,0.00502038688215,0.566519451176,0.790807909444,0.989017521242,130,0.100299158061,1,0.134340044743,1,0.0574944071588,0,0.0223713646532,0.009080431,0.540708,0.18980165,0.3084099,0.627906976744,0.235244309052,0.4,0.566666666667,0.7,0.9
Rv1305|atpE:_246_bp_-_PRO,0.305,29.6392879486,0.744,0.229,0.3227443,-6.74116799747561,-0.0842645999684452,-103.69,0.000418012,-58.47,0.0566014,0,0.363029641975,0.295105,0.429183,0.391821151515,0.405008344828,0.296214,0.386898,0.296214,0.26508756,NA,NA,1,25.0,25,0.431034482759,29,0.358024691358,-0.641975308642,-1.92631578947,-0.80487804878,0.185365853659,4,0.6825,NA,NA,-0.4252,-0.4252,-0.355,-0.355,0.562068965517,20.5759756098,22.47275,22.698,15.58,19.583,1,0.250000,0,0.000000,2,0.068966,2,0.068966,1,0,2,2,2,2,NA,4,0.0689655172414,29,0.5,1,81,8055.3936,4.78057861328,0.0987654320988,1.0,0.456460871751,0.669550627745,0.383499897385,0.518621035557,0.795126154904,0.886890739448,0.646427784081,0.284276846566,0.539223857123,0.767155307519,0.969639559501,23,0.0954322770651,1,0.118791946309,1,0.116666666667,NA,NA,0.02813695,0.4394501,0.1955741,0.3226897,0.626016260163,0.231524813993,0.466666666667,0.566666666667,0.7,0.8
Rv3004|cfp6:_339_bp_-_LOW,0.226,38.9796638489,0.870,0.275,0.2642389,2.11785929114378,0.0190798134337278,-169.65,0.000200271,-48.18,0.0109805,1,0.4610386875,0.36723025,0.5654835,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,93,0.830357142857,0.755357142857,-2.06842105263,-1.27317073171,2.80731707317,NA,NA,NA,NA,NA,NA,NA,NA,0.464516129032,21.9122123894,24.6595,27.51,24.6,24.327,NA,NA,NA,NA,15,0.161290,8,0.086022,NA,NA,15,8,15,8,NA,0,0.0,93,1.0,1,112,12223.1381,11.3241577148,0.0714285714286,0.0,0.524032626011,0.563818723665,0.457604288558,0.498567950488,0.615502306565,0.763183036461,0.693914917087,0.182350173599,0.596987859485,0.806967969813,0.987851448799,35,0.116493797031,1,0.0978747203579,1,0.176286353468,NA,NA,0.02813695,0.4845985,0.2010665,0.3226897,0.69616519174,0.369524663854,0.533333333333,0.666666666667,0.766666666667,0.833333333333
Rv1607|chaA:_1083_bp_-_Pr,0.247,44.1827659607,0.819,0.233,0.28354,-11.297400087741,-0.0314690810243483,-535.01,7.73651e-14,-47.02,0.00539677,1,0.43489345,0.367551,0.4992885,0.458475820313,0.451469480769,0.463269631579,0.404474833333,0.316915,0.421882487069,0.3865918,0.512288548387,11,21.0909090909,232,0.644444444444,6,0.0166666666667,-0.481388888889,-2.2,-1.74146341463,1.3487804878,5,0.748,NA,NA,-0.526666666667,-0.229143169998,0.342,0.283363636364,0.395,23.0642382271,24.0445,24.435,27.102,21.868,15,0.197368,7,0.092105,3,0.057692,7,0.134615,6,5,1,3,2,0,5,31,0.0861111111111,19,0.0527777777778,1,360,36771.1372,6.51141357422,0.0555555555556,2.18181818182,0.563329949868,0.660521968149,0.445696408872,0.549123957683,0.777343281535,0.889251909764,0.695909764555,0.222173970837,0.60821547077,0.791185585333,0.997529537104,119,0.110931973554,1,0.17841163311,1,0.175167785235,1,0.180568871844,0.009080431,0.4910102,0.1866467,0.3087981,0.664819944598,0.307861010507,0.5,0.633333333333,0.7,0.933333333333
Rv1239c|corA:_1101_bp_-_P,0.278,39.5507431030,0.833,0.225,0.2903849,-8.27728680928725,-0.0226774981076363,-469.85,1.8946e-13,-38.76,0.057831,2,0.403109060109,0.3035255,0.49344625,0.419646803077,0.283866545455,0.424403436306,0.428006707792,0.2394355,0.272017195122,0.283866545455,0.428006707792,2,20.5,41,0.112021857923,308,0.841530054645,1.46830601093,-1.78947368421,-0.856097560976,3.29268292683,11,0.683636363636,NA,NA,-0.195,-0.3075,1.33,0.3705,0.756071428571,20.8743051771,19.3625,19.905,14.956,17.845,47,0.149682,48,0.152866,2,0.181818,2,0.181818,45,48,2,2,45,48,11,308,0.841530054645,11,0.0300546448087,1,366,41500.3588,5.46002197266,0.0846994535519,4.0,0.75346930416,0.621591659631,0.327292227034,0.529233612321,0.7261372791,0.838607172315,0.639572530447,0.0587763491484,0.53817056831,0.760640991869,0.989645885867,86,0.0899648449984,1,0.0491051454139,1,0.0980984340045,1,0.170981144136,0.009080431,0.4910102,0.186575,0.3076469,0.620345140781,0.220368355789,0.433333333333,0.566666666667,0.7,0.833333333333
Rv2398c|cysW:_819_bp_-_PR,0.249,40.2764816284,0.801,0.209,0.2818253,-13.0693692378111,-0.0482264547520706,-370.21,9.13854e-09,-41.25,0.0160682,0,0.359664632353,0.2926155,0.4163895,0.36716610084,0.318780877551,0.401035757143,0.16825725,0.546965818182,0.353830156863,0.234699631579,0.42672025,6,25.5,153,0.5625,8,0.0294117647059,-0.194117647059,-2.21578947368,-1.52682926829,1.05609756098,19,0.115789473684,0.115789473684,0.115789473684,-0.548333333333,-0.306855636071,-2.59,-0.220666666667,0.2175,21.1617948718,22.155,18.391,18.354,19.212,12,0.171429,7,0.100000,4,0.081633,5,0.102041,4,5,1,1,1,0,19,40,0.147058823529,19,0.0698529411765,1,272,29288.2859,9.20086669922,0.102941176471,3.16666666667,0.417088766528,0.593941788117,0.237865182169,0.532568147974,0.709208130581,0.814973023503,0.671930185121,0.175119597607,0.579861002729,0.765304463941,0.995808303822,82,0.105485127185,1,0.0970917225951,1,0.0853467561521,1,0.117289868968,0.009080431,0.4910102,0.1869729,0.3184836,0.625152625153,0.229825835847,0.466666666667,0.566666666667,0.666666666667,0.833333333333
Rv3664c|dppC:_801_bp_-_PR,0.204,43.5704193115,0.783,0.251,0.2900806,-5.98091277336013,-0.0225694821636231,-381.73,2.75242e-08,-38.95,0.0135125,0,0.356219109023,0.3084815,0.4100935,0.3571866,0.400130088235,0.301029730769,0.5177835,0.330528588235,0.33736066129,0.306861727273,0.444267658537,6,20.6666666667,124,0.508196721311,41,0.154135338346,-0.255639097744,-2.33157894737,-1.35609756098,1.3243902439,11,0.289090909091,NA,NA,-0.0341666666667,-0.201541005291,-0.516,1.2435,0.588292682927,21.2128089888,24.85925,27.6855,30.302,34.071,9,0.173077,3,0.057692,10,0.147059,8,0.117647,6,2,4,4,4,4,11,30,0.122950819672,41,0.168032786885,1,266,27878.5008,9.15032958984,0.0902255639098,3.5,0.958954250183,0.693483224412,0.388030838425,0.519820292791,0.809274939907,0.958954250183,0.716763776761,0.241154076089,0.60812980068,0.827965401408,0.983116546698,98,0.11687343231,0,0.0321029082774,1,0.105033557047,1,0.122722914669,0.009080431,0.4910102,0.1893331,0.31966535,0.639200998752,0.257462371484,0.4,0.6,0.7,0.833333333333
Rv2937|drrB:_870_bp_-_PRO,0.225,48.1597976685,0.716,0.206,0.2466547,-47.6930453868334,-0.165600852037616,-368.33,3.00503e-11,-43.02,0.311477,1,0.419596574394,0.349347,0.485753,0.448773161074,0.388134043478,0.5010744,0.527788695652,0.390536666667,0.38854435,0.413579894737,0.527788695652,6,23.3333333333,140,0.484429065744,46,0.159169550173,-0.279930795848,-2.32105263158,-1.33170731707,1.20487804878,19,0.231052631579,0.231052631579,0.231052631579,-0.206956521739,-0.307814814815,1.25,-0.444166666667,0.226086956522,20.2870344828,21.2035,24.2105,26.634,23.626,10,0.125000,4,0.050000,9,0.130435,1,0.014493,5,1,6,1,5,1,19,46,0.159169550173,45,0.155709342561,1,289,31108.5359,11.0258178711,0.107266435986,3.16666666667,0.589435579539,0.56867333254,0.325982636761,0.422739717696,0.729640242071,0.887041415121,0.662277963061,0.0700488033588,0.549567957373,0.789347750128,0.980995262737,65,0.0882226847197,1,0.122483221477,1,0.117337807606,0,0.0798977309044,0.009080431,0.4910102,0.1864456,0.318043175,0.594252873563,0.169038579588,0.4,0.533333333333,0.666666666667,0.8
Rv3550|echA20:_744_bp_-_P,0.294,32.8540382385,0.901,0.273,0.3120414,-7.79166658851228,-0.0316734414167166,-359.55,1.01219e-08,-48.53,0.0704882,2,0.384710708502,0.3275815,0.4302095,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,247,1.0,1.17570850202,-1.62631578947,-0.712195121951,3.07317073171,NA,NA,NA,NA,NA,NA,NA,NA,0.635870445344,22.5350806452,23.24775,20.9585,19.604,20.93,NA,NA,NA,NA,29,0.117409,30,0.121457,NA,NA,29,30,29,30,NA,0,0.0,247,1.0,1,247,26332.5654,5.40679931641,0.0728744939271,0.0,0.471528391606,0.581293613211,0.345898915013,0.520112513127,0.651175291135,0.833297871833,0.664430482816,0.130023870228,0.584013508456,0.762428473857,0.952590216773,81,0.108158699721,1,0.0885906040268,1,0.162751677852,NA,NA,0.009080431,0.4910102,0.18423065,0.3226897,0.681451612903,0.340579509241,0.433333333333,0.666666666667,0.733333333333,0.866666666667
Rv3761c|fadE36:_1056_bp_-,0.259,43.5741462708,0.794,0.249,0.2919032,-13.3638512080086,-0.0381824320228818,-499.56,3.56698e-13,-59.97,0.0295312,6,0.40222851567,0.354007,0.444461,0.410744475904,0.396497582192,0.5147468,0.396497582192,0.5147468,0.253423315789,NA,NA,1,19.0,19,0.0541310541311,292,0.831908831909,1.62763532764,-0.957894736842,0.10487804878,3.35365853659,40,1.08025,0.458947368421,1.55842105263,-0.177894736842,-0.177894736842,1.585,1.585,0.678184931507,21.4426988636,21.27225,22.2675,15.618,13.256,7,0.175000,7,0.175000,39,0.133562,43,0.147260,7,7,39,43,39,43,NA,40,0.11396011396,292,0.831908831909,1,351,38564.2986,5.15667724609,0.0626780626781,1.0,0.412350387765,0.572709476344,0.29504812863,0.530192745181,0.64495678797,0.756952211861,0.667081007157,0.150258442007,0.574320442983,0.77836588384,0.983144916387,106,0.107549213797,1,0.180425055928,1,0.102684563758,NA,NA,0.009080431,0.4910102,0.1862725,0.311681525,0.654356060606,0.287276029561,0.466666666667,0.6,0.7,0.8
