title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,X40deltaG,X40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
15606582|ref|NP_213962,0.161,48.3244400024,0.342,0.069,0.23483,-17.6202118242258,-0.060550556096996,-210.36,9.87556e-14,-21.21,0.00205232,0,0.330070393836,0.2850575,0.379391,0.299900047619,0.273551727273,0.3288832,0.2702034,0.416472,0.342254572115,0.300237,0.218205272727,10,20.8,208,0.712328767123,5,0.0171232876712,-0.297945205479,-2.56842105263,-1.28048780488,1.0756097561,6,1.59333333333,NA,NA,-0.128947368421,-0.406895417893,0.064,0.2486,-0.116,18.049556314,17.68825,16.468,20.656,19.172,11,0.275000,10,0.250000,6,0.136364,7,0.159091,4,2,3,2,0,1,6,11,0.0376712328767,11,0.0376712328767,1,292,33243.9311,9.25848388672,0.178082191781,2.6,0.485259721973,0.476766821238,0.165460164297,0.320617816719,0.657462098425,0.767172883197,0.544342091715,0.0539051155552,0.444754122936,0.65142989748,0.918383388181,25,0.0503355704698,1,0.0870246085011,1,0.0595078299776,0,0.0332374560562,0.04684285,0.4709613,0.1999469,0.2682484,0.3606370876,-0.290539958004,0.1,0.3,0.433333333333,0.633333333333
33359482|ref|NP_578178,0.126,46.0473403931,0.313,0.069,0.205636,-32.3704977927694,-0.111238824030136,-228.86,5.42077e-16,-23.03,0.00450098,0,0.320067842466,0.25674125,0.36984975,0.344103480769,0.268714233333,0.374666689189,0.343864,0.26503,0.306771531915,0.266105636364,0.343864,9,20.8888888889,188,0.643835616438,26,0.0890410958904,0.102739726027,-2.10526315789,-1.09024390244,1.31219512195,11,0.592727272727,NA,NA,-0.2,-0.34487673521,1.756,1.13955555556,0.228076923077,16.3058703072,17.53325,15.718,26.006,19.31,17,0.229730,8,0.108108,6,0.200000,6,0.200000,3,3,3,1,3,3,11,26,0.0890410958904,11,0.0376712328767,1,292,32940.2361,9.87701416016,0.123287671233,1.77777777778,0.390455743754,0.591585277177,0.2077149923,0.436260088015,0.778493780731,0.969125051101,0.601180250677,0.150312859305,0.502142935394,0.719396595855,0.949150233025,26,0.0542235593613,1,0.0647651006711,1,0.0646532438479,0,0.0335570469799,0.04684285,0.4709613,0.1999469,0.2682484,0.369738339022,-0.272635603632,0.2,0.333333333333,0.4,0.566666666667
16418499|ref|AAL18970.,0.263,48.2734947205,0.616,0.208,0.2878453,27.5710798504196,0.0580443786324624,-575.62,2.3347e-18,-33.55,0.0114926,1,0.37598944958,0.2895255,0.4510865,0.40973665704,0.399204298013,0.422358769841,0.237674181818,0.523605210526,0.329014693467,0.462048864865,0.428304689076,9,22.1111111111,199,0.418067226891,11,0.0231092436975,-0.214075630252,-2.27894736842,-1.63170731707,2.97073170732,37,0.194594594595,0.114736842105,0.437894736842,-0.594736842105,-0.381632011945,-0.381,-0.304,0.0609090909091,21.9659958071,20.29575,20.3245,17.26,21.183,22,0.174603,10,0.079365,7,0.046358,9,0.059603,7,7,6,6,0,2,37,38,0.0798319327731,119,0.25,1,476,51537.107,9.12310791016,0.117647058824,2.33333333333,0.612631875352,0.647746372829,0.404309607297,0.48523258814,0.795557783958,0.895856332348,0.657914777225,0.0613404621724,0.54988395065,0.783734472462,0.988669503455,96,0.0817593143224,1,0.0780760626398,1,0.0675615212528,1,0.115372323426,0.04684285,0.5234726,0.1944692,0.2674585,0.558350803634,0.098410557913,0.233333333333,0.5,0.633333333333,0.833333333333
18976886|ref|NP_578243,0.132,42.7498092651,0.323,0.066,0.230607,-40.2263318749102,-0.0736746005034985,-471.54,1.85213e-27,-23.84,0.0263157,0,0.323080411335,0.258083,0.369263,0.335354181185,0.355777910714,0.306520680672,0.246795363636,0.356613833333,0.309532057692,0.223393909091,0.38600712605,12,21.6666666667,260,0.475319926874,11,0.0201096892139,-0.242230347349,-2.41052631579,-1.7,1.26097560976,11,0.51,NA,NA,-0.0130434782609,-0.363882483231,3.402,0.478416666667,0.00727272727273,16.132080292,17.8695,14.261,21.202,17.961,19,0.159664,14,0.117647,15,0.089286,16,0.095238,6,3,12,7,1,1,11,27,0.0493601462523,119,0.217550274223,1,547,58859.2725,8.61224365234,0.120658135283,2.83333333333,0.404663564351,0.490885331794,0.344404720199,0.402382481807,0.57385031415,0.715681115586,0.638071364202,0.0224092920546,0.544130044877,0.755585484098,0.975412343552,88,0.0726145762781,1,0.0889261744966,1,0.0887024608501,1,0.153084052413,0.04684285,0.5234726,0.1987685,0.2690113,0.419099756691,-0.175529802103,0.166666666667,0.366666666667,0.466666666667,0.633333333333
16419208|ref|AAL19644.,0.395,36.3002471924,0.663,0.181,0.3422281,18.1456551902346,0.0414284365073849,-533.03,3.43731e-15,-34.19,0.0286449,1,0.376570615034,0.3216475,0.4339215,0.405505053476,0.389645016129,0.413371632,0.553011090909,0.348045090909,0.355099424603,0.436599545455,0.40439828125,12,21.0,252,0.574031890661,11,0.0250569476082,-0.537357630979,-2.28947368421,-1.5,0.563414634146,11,0.573636363636,NA,NA,-0.306842105263,-0.305104062239,2.367,1.06483333333,0.878181818182,22.9085681818,21.13025,20.9005,21.36,21.341,19,0.152000,9,0.072000,1,0.016129,5,0.080645,4,3,0,1,3,0,11,32,0.0728929384966,19,0.0432801822323,1,439,46474.5291,9.02008056641,0.109339407745,2.33333333333,0.25661598174,0.434296566029,0.127693160914,0.274980646028,0.577374946414,0.875493035369,0.655676863683,0.079449089381,0.558418165806,0.776580795031,0.990926255536,71,0.0798611644372,1,0.0737136465324,1,0.0958612975391,0,0.035155001598,0.04684285,0.5234726,0.195292,0.2673993,0.540909090909,0.0640985066359,0.3,0.5,0.6,0.8
16419480|ref|AAL19903.,0.221,54.6042938232,0.531,0.127,0.2725358,34.499314923298,0.0730917689052923,-500.08,2.72586e-21,-38.24,0.0501841,0,0.32329894926,0.263695,0.377472,0.331466445498,0.309266814815,0.354743728155,0.222329363636,0.600867,0.31672130916,0.1952362,0.333974709677,12,21.8333333333,262,0.553911205074,11,0.0232558139535,-0.178012684989,-2.42105263158,-1.40975609756,0.99512195122,5,0.212,NA,NA,-0.23,-0.380946657102,3.531,0.1715,0.572727272727,20.1711603376,20.14375,22.1405,25.5,24.835,21,0.203883,8,0.077670,9,0.083333,10,0.092593,4,3,4,4,2,1,5,31,0.0655391120507,31,0.0655391120507,1,473,52570.0272,9.39312744141,0.137420718816,2.08333333333,0.668157194937,0.591725558923,0.449169956335,0.509487712126,0.656913718923,0.808888932018,0.659220798009,0.19484279893,0.555737398197,0.766869981106,0.995988268756,119,0.086934838057,1,0.0986577181208,1,0.0875838926174,1,0.134547778843,0.04684285,0.5234726,0.1944692,0.26714635,0.472573839662,-0.070333397032,0.233333333333,0.4,0.533333333333,0.7
16419996|ref|AAL20396.,0.267,52.1688919067,0.594,0.186,0.2976416,8.39807664921114,0.0182964632880417,-548.24,1.14721e-17,-40.48,0.173297,0,0.364570893478,0.3012125,0.43237675,0.376072870056,0.357724294737,0.397330365854,0.449413,0.487201,0.341372205426,0.3108732,0.30736912,12,21.5,258,0.593103448276,15,0.0326086956522,-0.423913043478,-2.32631578947,-1.74390243902,1.04634146341,20,0.9075,0.764210526316,0.86,-0.48619047619,-0.387389753005,-2.403,-0.257,-0.00133333333333,22.6545336226,25.13775,28.721,36.354,33.973,19,0.231707,7,0.085366,6,0.063158,10,0.105263,3,4,2,4,0,0,20,20,0.0459770114943,25,0.0574712643678,1,460,49416.8096,8.98834228516,0.1,2.08333333333,0.325034388279,0.577103440651,0.0754189985568,0.537202250424,0.726163268747,0.817387933129,0.668235085956,0.0700450603548,0.558526298195,0.790339941814,0.995010501851,104,0.0853628752577,1,0.0759507829978,1,0.0960850111857,1,0.0648769574944,0.04684285,0.5234726,0.1949242,0.2672217,0.543745480839,0.0696783690178,0.333333333333,0.5,0.6,0.8
16420738|ref|AAL21104.,0.365,45.0597343445,0.625,0.177,0.3205436,35.6241289635329,0.0730002642695347,-559.98,9.09104e-18,-34.57,0.0214333,2,0.323595451943,0.236726,0.395157,0.344455890351,0.307983328125,0.358689085366,0.52050885,0.255909,0.30537254023,0.4404438,0.350271916667,12,21.75,261,0.533742331288,20,0.040899795501,-0.120654396728,-2.59473684211,-1.70731707317,0.99756097561,5,0.604,NA,NA,0.0621739130435,-0.375406260274,1.826,-0.25575,1.096,22.786244898,21.81325,23.262,18.548,23.74,28,0.170732,15,0.091463,4,0.062500,9,0.140625,0,3,1,2,6,2,5,36,0.0736196319018,19,0.038854805726,1,489,53683.3825,8.96002197266,0.151329243354,2.75,0.204590630421,0.451302994321,0.0625784706021,0.355182991994,0.584061680753,0.823459778296,0.653165427822,0.00811412190569,0.537907094023,0.784509214818,0.987202295648,114,0.0889434009068,1,0.093288590604,1,0.119351230425,1,0.232662192394,0.04684285,0.5234726,0.195074,0.2671276,0.531292517007,0.0451803887851,0.266666666667,0.466666666667,0.6,0.766666666667
16420900|ref|AAL21258.,0.237,52.4915542603,0.597,0.165,0.2658509,29.7720606475798,0.0637517358620552,-542.24,2.9348e-16,-42.46,0.0672238,1,0.355645581197,0.2888775,0.4083075,0.382773697561,0.321743209877,0.422640387097,0.6318075,0.31876575,0.334500091255,0.427189454545,0.379618896552,12,21.9166666667,263,0.561965811966,24,0.0512820512821,-0.374358974359,-2.31578947368,-1.63658536585,1.26097560976,11,0.560909090909,NA,NA,-0.221052631579,-0.357504133233,1.507,0.00783333333333,1.09,20.9964179104,24.40575,24.259,28.896,21.672,22,0.177419,9,0.072581,7,0.086420,7,0.086420,3,1,4,3,6,3,11,29,0.0619658119658,22,0.0470085470085,1,468,51480.2188,8.31597900391,0.138888888889,2.33333333333,0.74675332655,0.557141792636,0.280134845026,0.473422956233,0.67290077982,0.778448864327,0.647921096508,0.0714430702775,0.560030963408,0.76228221072,0.958872951116,111,0.0879300246757,1,0.119015659955,1,0.091610738255,1,0.0898050495366,0.04684285,0.5234726,0.1946865,0.2671276,0.53091684435,0.0444413501552,0.266666666667,0.466666666667,0.6,0.766666666667
16421782|ref|AAL22098.,0.345,45.1913490295,0.643,0.193,0.3313935,5.69721762806189,0.0137947158064452,-498.25,2.31532e-14,-33.57,0.0483537,1,0.419030809179,0.361698,0.4908055,0.418182570776,0.450015421053,0.406982123457,0.463704352941,0.418030322581,0.419983446154,0.3793104,0.418030322581,8,24.375,195,0.471014492754,17,0.0410628019324,-0.299516908213,-2.20526315789,-1.8756097561,1.09512195122,5,1.514,NA,NA,-0.394736842105,-0.29086740529,-0.583,-0.315375,0.381176470588,24.1942409639,21.6235,20.2565,12.692,15.308,19,0.117284,13,0.080247,4,0.070175,5,0.087719,2,7,2,3,2,0,5,62,0.149758454106,36,0.0869565217391,1,414,43412.0563,8.42779541016,0.0676328502415,2.875,0.342587104389,0.526437051827,0.342587104389,0.427287010073,0.639970808043,0.743982637173,0.670455478462,0.0478056832921,0.583536014488,0.776032422797,0.995087945377,82,0.081981277557,1,0.104362416107,1,0.0815436241611,1,0.171939916906,0.04684285,0.5234726,0.19480535,0.2671276,0.55983935743,0.101338901877,0.333333333333,0.5,0.633333333333,0.8
