title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,40deltaG,40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
YmcD|XK|gb|U00096.3:c1049,0.379,62.6339035034,0.500,0.178,0.2954088,-0.345010387303729,-0.00345010387303729,-110.10,0.000574522,-27.11,0.00884671,1,0.663423108911,0.534863,0.782295,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,80,0.792079207921,-0.532673267327,-1.99473684211,-1.62926829268,-0.226829268293,NA,NA,NA,NA,NA,NA,NA,NA,0.590875,18.3814851485,17.762,17.9335,19.016,17.67,NA,NA,NA,NA,2,0.025000,4,0.050000,NA,NA,2,4,2,4,NA,0,0.0,80,0.792079207921,1,101,9507.3962,5.97796630859,0.019801980198,0.0,0.276768349521,0.38728545925,0.201013901836,0.285625679496,0.479659941792,0.595431866088,0.60248982844,0.00595689519569,0.459804404268,0.77741132096,0.98958513871,27,0.0913573483085,1,0.0892617449664,1,0.101342281879,NA,NA,0.03508115,0.4398815,0.1512822,0.3016191,0.580858085809,0.14268780478,0.366666666667,0.533333333333,0.633333333333,0.8
YjeO|XK|gb|U00096.3:43857,0.291,49.3999481201,0.578,0.151,0.2558409,10.5603983415233,0.10252813923809,-99.00,0.000354782,-34.96,0.0489151,0,0.242024480769,0.2173875,0.26428475,0.232761097561,0.229877228571,0.249583666667,0.250038444444,0.139307333333,0.245661157895,0.249583666667,0.248615827586,2,19.0,38,0.365384615385,29,0.278846153846,0.123076923077,-2.60526315789,-0.839024390244,1.63658536585,6,1.38,NA,NA,-0.803333333333,-0.811666666667,0.457,-0.0835,1.11482758621,21.2120192308,20.45625,18.3915,24.25,18.391,4,0.666667,0,0.000000,4,0.114286,9,0.257143,4,0,3,9,3,9,6,6,0.0576923076923,29,0.278846153846,1,104,12637.9835,6.10723876953,0.230769230769,2.0,0.807254901639,0.542737835131,0.269250546386,0.388202756778,0.692661674362,0.851759600011,0.621999339143,0.0760182761372,0.50878162511,0.748043691913,0.915652238766,25,0.0837264934547,1,0.114765100671,1,0.109284116331,1,0.10067114094,0.03508115,0.4398815,0.1552518,0.300683775,0.480769230769,-0.0542110881549,0.333333333333,0.433333333333,0.533333333333,0.666666666667
SugE|XK|gb|U00096.3:43768,0.275,43.7542686462,0.552,0.166,0.2944538,6.46478830930322,0.0621614260509925,-120.05,7.5039e-05,-34.15,0.0022802,0,0.411266209524,0.361917,0.468075,0.4436485,0.44863947619,0.408711666667,0.3736315,0.488642740741,0.389528,0.408711666667,0.488642740741,2,20.0,40,0.380952380952,15,0.142857142857,-1.00952380952,-2.19473684211,-1.65609756098,-0.682926829268,6,0.473333333333,NA,NA,-0.403333333333,-0.251439393939,-0.237,-0.1375,0.361333333333,22.1426666667,22.761,24.9435,17.926,18.413,1,0.166667,0,0.000000,6,0.142857,1,0.023810,1,0,3,1,3,0,6,6,0.0571428571429,27,0.257142857143,1,105,10900.1299,9.81976318359,0.0666666666667,2.0,0.649604153539,0.551124341638,0.233944136595,0.452736889792,0.683114170296,0.784432367124,0.641915192353,0.223175226222,0.565289174504,0.717862009916,0.95422933002,26,0.100780804492,1,0.0646532438479,1,0.116554809843,1,0.153403643337,0.03508115,0.4398815,0.1561275,0.3000192,0.536507936508,0.0554403755294,0.333333333333,0.466666666667,0.633333333333,0.733333333333
YgbE|XK|gb|U00096.3:c2873,0.281,55.0602531433,0.552,0.131,0.2977233,14.4659745117966,0.136471457658458,-102.72,6.69303e-05,-35.99,0.0885069,0,0.380077766355,0.2988305,0.3926925,0.487525837838,0.285062666667,0.526712258065,0.6411612,0.390186,0.323283785714,0.264038,0.6411612,3,23.3333333333,70,0.654205607477,20,0.18691588785,-0.691588785047,-2.53684210526,-1.99268292683,0.553658536585,5,0.4,NA,NA,-0.464,-0.624933333333,0.03,-1.25533333333,1.1545,21.9548598131,21.208,21.0075,20.034,17.318,5,0.161290,6,0.193548,0,0.000000,0,0.000000,2,5,0,0,2,5,5,20,0.18691588785,5,0.0467289719626,1,107,12017.1205,4.91522216797,0.158878504673,3.0,0.419157570776,0.380587266947,0.216555988891,0.297052001741,0.47946664665,0.623330925144,0.673396659488,0.219861306664,0.556887630719,0.794684917776,0.960833506462,24,0.0774608501119,1,0.0821029082774,0,0.0376957494407,0,0.0214125918824,0.03508115,0.4398815,0.1588116,0.29906735,0.485981308411,-0.0439576756527,0.233333333333,0.433333333333,0.533333333333,0.733333333333
CyoD|XK|gb|U00096.3:c4480,0.418,36.0421066284,0.628,0.104,0.3296066,4.12726653896489,0.0382154309163416,-113.04,3.42053e-05,-37.22,0.0168081,0,0.384255752294,0.307906,0.424301,0.444357088889,0.313528142857,0.503441129032,0.6082619,0.256429,0.341997,0.4163066,0.6082619,3,21.3333333333,64,0.587155963303,20,0.183486238532,-0.966055045872,-2.55789473684,-2.03902439024,-0.485365853659,5,0.228,NA,NA,-0.5425,-0.511875431332,0.497,-0.816,0.8385,22.0306422018,21.13075,20.022,15.266,21.574,5,0.161290,3,0.096774,1,0.071429,0,0.000000,4,1,1,0,4,1,5,20,0.183486238532,9,0.0825688073394,1,109,12029.3367,6.55743408203,0.100917431193,1.66666666667,0.336740749482,0.444884981639,0.314797573982,0.362375301251,0.522744689447,0.613096700489,0.616351510785,0.312685813299,0.49677404558,0.753764417149,0.94490922322,21,0.079523869824,1,0.078970917226,1,0.0974272930649,1,0.0821348673698,0.03508115,0.4398815,0.1647931,0.298249,0.501529051988,-0.0133715180166,0.366666666667,0.466666666667,0.533333333333,0.733333333333
EmrE|XK|gb|U00096.3:56831,0.167,37.9860458374,0.304,0.073,0.2245552,3.66963766136625,0.0336664005629931,-104.14,2.45126e-05,-31.46,0.0133742,0,0.315023618182,0.27089175,0.337149,0.333447357143,0.3767121875,0.275760916667,0.2729888,0.491088166667,0.308732585366,0.260219666667,0.260219666667,4,20.5,82,0.745454545455,5,0.0454545454545,-0.845454545455,-2.13157894737,-1.67804878049,-0.478048780488,6,0.931666666667,NA,NA,0.102222222222,-0.311528812974,2.266,0.24525,-0.302,18.0906363636,17.15675,18.011,20.97,19.72,2,0.166667,2,0.166667,2,0.125000,0,0.000000,1,1,2,0,0,0,6,6,0.0545454545455,6,0.0545454545455,1,110,11958.2293,7.71759033203,0.127272727273,2.75,0.524591448028,0.61153172606,0.218784443584,0.477881797213,0.712332007632,0.995030078243,0.601821516969,0.0632824785139,0.459973811618,0.759265969803,0.992776330132,15,0.0699993727655,1,0.0606263982103,1,0.0560402684564,0,0.0604026845638,0.03508115,0.4398815,0.16983655,0.298249,0.415151515152,-0.183296944487,0.266666666667,0.333333333333,0.466666666667,0.633333333333
YgiZ|XK|gb|U00096.3:c3172,0.142,52.5334167480,0.245,0.082,0.2175851,1.81577477973486,0.016658484217751,-86.13,4.90867e-06,-25.84,0.018951,0,0.274113418182,0.20898625,0.3378605,0.298983037736,0.338299548387,0.2435825,0.226272818182,0.151047285714,0.250989035088,0.392914791667,0.392914791667,3,19.0,57,0.518181818182,11,0.1,-0.191818181818,-2.21052631579,-0.99756097561,0.490243902439,24,0.785,0.321578947368,0.755263157895,-0.622222222222,-0.735889863548,1.159,-0.679333333333,0.652727272727,16.8816363636,16.81025,18.528,22.608,20.656,6,0.272727,3,0.136364,3,0.096774,4,0.129032,3,1,2,4,3,1,24,11,0.1,24,0.218181818182,1,110,13200.8454,7.61505126953,0.218181818182,1.0,0.93564306594,0.685649110717,0.254711847066,0.597300568918,0.787869825942,0.948929721573,0.628630395346,0.225327901701,0.520369698329,0.751604266174,0.924814408321,18,0.0636224884484,1,0.0503355704698,1,0.0464205816555,0,0.0520933205497,0.03508115,0.4398815,0.16983655,0.298249,0.342424242424,-0.326369012606,0.166666666667,0.266666666667,0.433333333333,0.533333333333
SecG|XK|gb|U00096.3:c3322,0.452,41.7457084656,0.481,0.143,0.3372535,0.283145740427059,0.00259766734336752,-106.77,0.000164066,-39.77,0.0212443,0,0.571158190909,0.43662625,0.64239075,0.639280243243,0.74016602381,0.50686765625,0.4251976,0.782729324324,0.431129527778,0.50686765625,0.782729324324,2,18.0,36,0.327272727273,5,0.0454545454545,-0.0272727272727,-2.56842105263,-1.49268292683,1.85609756098,32,0.544375,0.165263157895,0.790526315789,-0.648823529412,-0.592832817337,-1.497,-1.042,0.3,22.5489090909,21.49725,21.7605,21.594,17.845,2,0.062500,1,0.031250,4,0.095238,5,0.119048,2,1,4,4,0,1,32,32,0.290909090909,37,0.336363636364,1,110,11365.0276,6.09051513672,0.0727272727273,1.5,0.762862430933,0.784492536887,0.294464900357,0.759083769937,0.87563766357,0.929746034214,0.631443683145,0.28246039744,0.550166769868,0.724118044611,0.92982217165,18,0.0751845114888,1,0.115436241611,1,0.0831096196868,1,0.0917225950783,0.03508115,0.4398815,0.16983655,0.298249,0.5,-0.0163795316811,0.266666666667,0.433333333333,0.566666666667,0.733333333333
YdgC|XK|gb|U00096.3:c1682,0.236,41.0437049866,0.500,0.171,0.2693624,11.9605726263361,0.108732478421237,-107.21,4.31678e-06,-31.27,0.011181,0,0.304253189189,0.248688,0.3644105,0.3120115,0.309245763158,0.329527833333,0.347687068966,0.135338,0.249864108696,0.329527833333,0.313945972973,2,23.0,46,0.414414414414,37,0.333333333333,-0.885585585586,-2.08947368421,-1.58292682927,0.20487804878,6,0.085,NA,NA,-0.829090909091,-0.588712121212,0.179,-0.3325,0.265945945946,21.549009009,23.854,25.538,21.986,24.503,1,0.166667,0,0.000000,6,0.157895,2,0.052632,1,0,5,2,5,2,6,6,0.0540540540541,37,0.333333333333,1,111,12322.9513,9.51422119141,0.153153153153,1.5,0.709517196716,0.65235262593,0.4646811595,0.597845830117,0.713912000389,0.764459354668,0.623189104524,0.0788884152882,0.516003104732,0.762189764215,0.988946486858,27,0.0826497638578,1,0.0388143176734,1,0.0442953020134,0,0.0354745925216,0.03508115,0.4398815,0.1720487,0.298249,0.477477477477,-0.0606867599838,0.166666666667,0.4,0.566666666667,0.7
YfbW|XK|gb|U00096.3:23725,0.262,47.2654113770,0.608,0.159,0.2940848,14.3393218705222,0.130357471550202,-130.43,5.64577e-05,-37.21,0.0169919,0,0.366022018018,0.3336985,0.400069,0.326490744681,0.324963804878,0.336924833333,0.381140111111,0.329575269231,0.379462651163,0.336924833333,0.329575269231,2,21.5,43,0.387387387387,15,0.135135135135,-0.684684684685,-2.34210526316,-1.67804878049,0.129268292683,6,0.331666666667,NA,NA,-0.679545454545,-0.548582251082,-4.281,-1.6975,0.666,21.3784684685,20.44175,16.547,13.082,16.03,0,0.000000,0,0.000000,8,0.195122,1,0.024390,0,0,3,1,5,0,6,6,0.0540540540541,26,0.234234234234,1,111,12191.8135,9.69573974609,0.0990990990991,1.5,0.5942135278,0.553942069069,0.296673502815,0.470699927145,0.645698679395,0.806224778311,0.665546107046,0.129812140769,0.564957338577,0.785043942022,0.977760266381,28,0.0988690032314,1,0.0666666666667,1,0.0885906040268,1,0.0933205496964,0.03508115,0.4398815,0.1720487,0.298249,0.540540540541,0.0633734792636,0.333333333333,0.5,0.6,0.7
