title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,X40deltaG,X40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
767967453,0.268,39.2697219849,0.77,0.138,0.2973704,-48.0762432365,-0.1047412707,-569.02,6.62777E-015,-36.75,0.00982785,5,0.4519153478,0.28508475,0.6115975,0.5361503946,0.3366235846,0.5927846419,0.4383757917,0.3797043077,0.3027279759,0.3092537273,0.6862444277,7,23.7142857143,166,0.3608695652,24,0.052173913,1.0115217391,-2.2842105263,-1.1804878049,4.2853658537,11,0.9190909091,NA,NA,-0.3246153846,-0.4218902868,0.349,0.607,0.2141666667,18.8759002169,17.84475,16.5075,19.328,15.073,54,0.235808,28,0.122271,4,0.061538,5,0.076923,31,24,1,0,1,0,11,159,0.3456521739,24,0.052173913,1,460,51420.3622,9.4520874023,0.097826087,1.5714285714,0.4551549831,0.4848437061,0.1043641562,0.3096545886,0.6233136449,0.8692153208,0.6247366563,0.1042843278,0.5311479189,0.73253237,0.9847607593,91,0.0881715073,1,0.1042505593,1,0.0472035794,0,0.0313199105,0.06795729,0.4666271,0.2072425,0.3042094,0.6109906001,0.2019657205,0.4,0.5666666667,0.6666666667,0.8333333333
148701401,0.252,42.3678359985,0.68,0.116,0.2713748,-38.9068964101,-0.0847644802,-533.62,9.46581E-016,-32.86,0.0576856,5,0.4521027217,0.28508475,0.6115975,0.5360686939,0.3243639692,0.5961595546,0.404154125,0.3802177949,0.3033919036,0.3092537273,0.6909792013,7,23.7142857143,166,0.3608695652,24,0.052173913,1.0054347826,-2.2842105263,-1.1804878049,4.3,11,0.9190909091,NA,NA,-0.3246153846,-0.4171760011,0.349,0.6345714286,0.1741666667,18.6890672451,16.73175,14.7595,21.242,15.072,54,0.235808,28,0.122271,4,0.061538,5,0.076923,31,24,1,0,1,0,11,159,0.3456521739,24,0.052173913,1,460,51378.3221,9.4426879883,0.097826087,1.5714285714,0.4431725574,0.4802207256,0.1314266614,0.304021952,0.7075253641,0.8097824143,0.6048365095,0.0030117485,0.5002986231,0.7280055391,0.9786993338,78,0.0775231285,1,0.0938478747,1,0.0470917226,0,0.0313199105,0.06795729,0.4666271,0.2072425,0.3042094,0.5777295734,0.1365332671,0.3666666667,0.5333333333,0.6333333333,0.7666666667
1860,0.264,53.8780784607,0.563,0.07,0.2738195,-23.7325307004,-0.0510377004,-417.04,9.80362E-018,-27.89,0.0243709,6,0.4589542704,0.2936935,0.63851525,0.51589919,0.2966314174,0.6383059563,0.4785709545,0.2312122063,0.33289,0.3876617273,0.6858447371,6,24.1666666667,145,0.3111587983,22,0.0472103004,0.7407725322,-2.2789473684,-1.5073170732,3.3024390244,11,0.7581818182,NA,NA,-0.42,-0.4347191719,-0.371,-0.6306666667,0.4127272727,18.2322698073,19.1235,18.9085,19.876,16.653,40,0.194175,25,0.121359,9,0.078261,5,0.043478,32,24,7,0,1,1,11,175,0.3755364807,63,0.135193133,1,466,51672.5193,9.0661010742,0.0922746781,1.3333333333,0.3690156254,0.3864444575,0.1750616083,0.2897039465,0.4342463166,0.7086312495,0.5988808932,0.018105962,0.4998071846,0.7204824577,0.9646550648,67,0.0633099977,1,0.0593959732,0,0.0251677852,0,0.0089485459,0.06795729,0.4666271,0.207498,0.30388785,0.471805853,-0.0718442119,0.2333333333,0.4333333333,0.5333333333,0.7
767946761,0.245,53.6724090576,0.55,0.06,0.2701426,-31.2279191746,-0.0671568154,-429.07,4.11286E-023,-24.82,0.014214,5,0.461225133,0.2936935,0.660285,0.5193414829,0.2949916087,0.6445853447,0.4699992273,0.2312122063,0.3325675586,0.3876617273,0.6932364743,6,24.1666666667,145,0.3111587983,22,0.0472103004,0.7673819742,-2.2789473684,-1.5073170732,3.356097561,11,0.7581818182,NA,NA,-0.42,-0.4347191719,-0.371,-0.6306666667,0.3990909091,17.6759528908,18.08425,15.531,17.064,16.712,40,0.194175,25,0.121359,9,0.078261,5,0.043478,32,24,7,0,1,1,11,175,0.3755364807,63,0.135193133,1,466,51714.4732,9.0718383789,0.0922746781,1.3333333333,0.2834322754,0.3995589309,0.0670091495,0.2787758556,0.5668801779,0.6505115233,0.6169647662,0.0194025556,0.5020105775,0.7584608916,0.9933846978,76,0.0664583815,1,0.0968680089,0,0.0178970917,0,0.0070310003,0.06795729,0.4666271,0.207498,0.30388785,0.4675231977,-0.0802692266,0.2666666667,0.4333333333,0.5333333333,0.6333333333
158260119,0.25,43.8318138123,0.769,0.126,0.2886327,-47.2604183875,-0.1016353084,-531.06,5.295E-015,-36.24,0.0508715,5,0.4293627897,0.332016,0.497601,0.4829072774,0.4971752667,0.4792172802,0.67510284,0.4649723768,0.339506523,0.3591035455,0.4649723768,7,24.8571428571,174,0.3733905579,25,0.0536480687,0.5504291845,-2.4684210526,-1.2024390244,2.8609756098,11,0.8545454545,NA,NA,-0.4107407407,-0.4009714375,-2.817,-0.1431428571,0.3676,18.154496788,18.7435,17.3965,17.884,15.718,53,0.228448,17,0.073276,5,0.083333,8,0.133333,25,11,1,1,1,1,11,138,0.2961373391,25,0.0536480687,1,466,51485.9599,9.2626342773,0.0987124464,3.1428571429,0.6789701576,0.5457054464,0.2403320881,0.4834677153,0.6786691453,0.77747477,0.6154805347,0.0066488252,0.5184172626,0.7309086354,0.98199622,95,0.0808454833,1,0.1294183445,0,0.0356823266,0,0.0038350911,0.06795729,0.4666271,0.207498,0.30388785,0.5717344754,0.1247394648,0.2333333333,0.5,0.6333333333,0.8
595276,0.246,50.0723648071,0.682,0.113,0.268004,-44.794499665,-0.0963322573,-539.34,1.19357E-018,-37.32,0.0374532,4,0.4335793605,0.3319995,0.529151,0.4929778459,0.4908246667,0.4935347026,0.65922464,0.4964224203,0.3338991437,0.3569633636,0.4964224203,7,24.8571428571,174,0.3733905579,25,0.0536480687,0.6482832618,-2.4684210526,-1.2024390244,3.0609756098,11,0.8545454545,NA,NA,-0.4059259259,-0.3839844221,-2.84,-0.1217142857,0.5748,18.3377301927,19.3875,18.2645,15.854,20.734,52,0.224138,19,0.081897,6,0.1,9,0.15,24,12,2,2,2,2,11,138,0.2961373391,25,0.0536480687,1,466,51596.9576,9.1637573242,0.0965665236,3.1428571429,0.369786551,0.5291028476,0.1353548854,0.4259034418,0.6715706009,0.9188048458,0.6280784507,0.1106190755,0.5181345455,0.749039552,0.9879542185,99,0.0839215459,1,0.1246085011,1,0.0727069351,0,0.004154682,0.06795729,0.4666271,0.207498,0.30388785,0.5460385439,0.0741893765,0.2666666667,0.5,0.6,0.8
187952405,0.262,35.7492599487,0.853,0.185,0.3073858,-71.1001692994,-0.1369945459,-682.21,1.71617E-018,-26.64,0.0190322,4,0.4714207673,0.3459445,0.5903995,0.526466726,0.4847385529,0.5396522082,0.5215501818,0.5906049767,0.3540336024,0.3486338182,0.5906049767,7,23.7142857143,166,0.3192307692,44,0.0846153846,0.8453846154,-2.5,-1.3926829268,4.9,11,0.5736363636,NA,NA,-0.3833333333,-0.4037287052,-2.248,0.034,0.6527272727,19.8790019194,20.27525,18.6655,24.094,23.468,56,0.208178,21,0.078067,8,0.094118,12,0.141176,29,14,4,4,4,4,11,172,0.3307692308,44,0.0846153846,1,520,56835.4085,9.5264282227,0.0961538462,2,0.342335196,0.2962391756,0.1001105701,0.2272326295,0.3709225669,0.4723537038,0.6327471327,0.0766697218,0.5202885547,0.7705677163,0.9956392622,118,0.0871058019,1,0.0426174497,1,0.1099552573,0,0.004154682,0.06795729,0.4868294,0.2081558,0.304114,0.6346769034,0.2485623859,0.3,0.5666666667,0.7,0.9666666667
619408,0.274,42.3978385925,0.775,0.146,0.3059598,-60.844131018,-0.1183737958,-634.35,2.72367E-019,-27.8,0.0283666,4,0.4672053748,0.349132,0.570047,0.5189522853,0.4749233978,0.5346407395,0.5424212727,0.5853062622,0.3534264534,0.3457809091,0.5853062622,7,23,161,0.3126213592,44,0.0854368932,0.8436893204,-2.5,-1.3926829268,4.5048780488,11,0.6836363636,NA,NA,-0.4173076923,-0.4308209437,-2.055,0.1344285714,0.6956818182,19.5109496124,21.0855,19.4855,27.57,25.206,54,0.206897,22,0.084291,8,0.086022,14,0.150538,27,15,3,5,3,5,11,164,0.3184466019,44,0.0854368932,1,515,56491.9504,9.3378295898,0.0970873786,2.2857142857,0.5968689659,0.4993854996,0.1937189997,0.4659694196,0.5659705797,0.6819819125,0.6242769822,0.1110722087,0.5157470431,0.7500104875,0.9843737318,109,0.0855388533,1,0.055033557,1,0.1100671141,0,0.0022371365,0.06795729,0.4666271,0.208581025,0.3039956,0.6027131783,0.1856820374,0.3,0.5333333333,0.6666666667,0.9
666940,0.266,42.0827140808,0.762,0.199,0.2788697,-63.1548344413,-0.1127764901,-795.32,2.05411E-019,-53.98,0.0402411,6,0.4825075169,0.340213,0.634244,0.5372042819,0.5905298658,0.5065266293,0.7389412935,0.5414136852,0.3366494771,0.3622973636,0.5414136852,7,21.8571428571,153,0.2727272727,92,0.1639928699,0.6390374332,-2.5947368421,-1.7,3.7414634146,11,0.5345454545,NA,NA,-0.3630434783,-0.3371542774,-0.775,0.4871428571,0.7070652174,19.5212989324,19.61225,16.5265,18.86,19.563,56,0.216216,22,0.084942,7,0.04698,15,0.100671,31,16,2,7,2,7,11,162,0.2887700535,92,0.1639928699,1,561,59353.7879,9.3330688477,0.0819964349,1.7142857143,0.6306665632,0.6719739157,0.3809144199,0.6067356767,0.7668884268,0.8573000123,0.6694052218,0.1062962025,0.5772499454,0.7703357163,0.9956272664,181,0.110856315,1,0.2474272931,1,0.1970917226,0,0.0236497283,0.06795729,0.4868294,0.2080248,0.3042573,0.6441281139,0.2671551941,0.4333333333,0.5666666667,0.7,0.9
166706775,0.292,32.000869751,0.934,0.255,0.3154917,-37.3728176121,-0.083235674,-660.24,4.05671E-016,-56.21,0.100806,4,0.4958000778,0.302365,0.7085405,0.5783635083,0.4692828737,0.6286676845,0.6279523636,0.26178,0.3290108658,0.4235211818,0.7306207662,7,21.2857142857,149,0.3311111111,33,0.0733333333,0.9511111111,-2.6315789474,-1.6878048781,3.9365853659,11,0.4654545455,NA,NA,-0.4916,-0.4705497704,-2.296,0.3547142857,0.5406060606,20.3117738359,25.289,24.776,27.648,28.174,47,0.228155,22,0.106796,8,0.084211,8,0.084211,31,18,1,2,1,2,11,154,0.3422222222,33,0.0733333333,1,450,48956.216,9.8029174805,0.1,1.5714285714,0.5048076202,0.5906644258,0.3948300094,0.5080807367,0.677029225,0.7819779065,0.6503438304,0.0162595359,0.5465013504,0.7737022712,0.9978470215,138,0.1079418345,1,0.1710290828,0,0.0512304251,1,0.0421860019,0.06795729,0.4666271,0.2061074,0.3051186,0.6888396157,0.3551134907,0.4,0.6,0.8,0.9666666667
