title,CAI,Nc,GC3s,CpG,tAI,CPS,CPSpL,deltaG,freqens,X40deltaG,X40freqens,hotloops,avgRONN,q25RONN,q75RONN,avgRONNloop,avgRONNextloop,avgRONNcytloop,avgRONNNterm,avgRONNCterm,avgRONNTM,RONNlongestloop,avgRONNTM1_2,numTMs,avgTMlen,membrCont,membrContNorm,lenNterm,lenNtermNorm,avgHydroGES,minhyd_19GES,minhyd_41GES,maxhyd_41GES,lenLoopAfterTM1,loop1_avghydOCT,loop1_minhyd_OCT19,loop1_maxhyd_OCT19,HYD1stTM,HYDallTMs,delG1stTM,delGallTMs,nterm_hydGES,avgCU,avgCU_first40,avgCU_first20,minCU_win5,minCU_win10,numPosCyt,numPosNormCyt,numNegCyt,numNegNormCyt,numPosExt,numPosNormExt,numNegExt,numNegNormExt,numPos_LongestCytLoop,numNeg_LongestCytLoop,numPos_LongestExtLoop,numNeg_LongestExtLoop,nterm_pos,nterm_neg,len1_2loop,longestCytLoop,longestCytLoopNorm,longestExtLoop,longestExtLoopNorm,startCodon,seqLen,weight,pI,aromatacityNorm,GPcount,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss,totalSDsites,relareaSD,codon16_36SD,codon16_36relareaSD,codon40_60SD,codon40_60relareaSD,minus5_plus2TM2SD,minus5_plus2TM2relareaSD,tAI10Min,tAI10Max,tAI10q25,tAI10q75,GC,GCdiffEC,GC10min,GC10q25,GC10q75,GC10max
HP0471,0.198,50.4943237305,0.382,0.086,0.2687607,-24.8549480365,-0.0598914411,-335.44,2.73056E-019,-24.48,0.0559562,0,0.3453010192,0.28974575,0.393867,0.3690860789,0.3302400508,0.3937303333,0.3745832,0.5053612609,0.3316065909,0.2944635,0.3228716207,13,20.3076923077,264,0.6346153846,5,0.0120192308,-0.1403846154,-2.2421052632,-2.0487804878,1.0048780488,6,1.2433333333,NA,NA,-0.6138888889,-0.3408086893,-0.907,0.324,0.904,19.3351318945,18.74375,20.189,23.194,22.238,21,0.225806,13,0.139785,7,0.118644,7,0.118644,5,3,5,2,0,1,6,23,0.0552884615,29,0.0697115385,1,416,46096.0801,9.0491333008,0.1201923077,1.9230769231,0.5209406211,0.4844369783,0.134853632,0.2762361717,0.607350705,0.8929124375,0.6185628739,0.0076172787,0.5193881504,0.7377083499,0.9857113588,45,0.0549557436,0,0.0378076063,1,0.0478747204,0,0.0373921381,0.06013149,0.4817836,0.2084154,0.2822796,0.3669064748,-0.2782065628,0.1,0.3,0.4333333333,0.7
HP0743,0.18,51.0040588379,0.431,0.095,0.2438427,-27.0478125505,-0.0711784541,-330.93,2.2174E-017,-23.77,0.00361565,0,0.3173302231,0.249355,0.365028,0.3427940705,0.3385908596,0.345214101,0.31629675,0.3906856087,0.2996752889,0.2745619091,0.3739842045,11,20.4545454545,225,0.5905511811,12,0.031496063,-0.4104986877,-2.5736842105,-1.8,1.6390243902,11,0.6609090909,NA,NA,-0.9652631579,-0.570851569,-1.882,-0.2068181818,0.6008333333,18.3040837696,18.67075,20.736,22.962,19.818,15,0.151515,8,0.080808,11,0.192982,4,0.070175,9,4,0,0,3,2,11,44,0.1154855643,19,0.0498687664,1,381,43135.5667,9.5330200195,0.1784776903,1.7272727273,0.6628736544,0.5455912025,0.3178547643,0.4427650657,0.629166582,0.8354104764,0.6108163945,0.1125850468,0.5313129865,0.6967936545,0.9340507716,53,0.0673738143,1,0.0860178971,1,0.0758389262,1,0.1543624161,0.06013149,0.4817836,0.2072892,0.2802087,0.3987783595,-0.2155068865,0.2,0.3333333333,0.4333333333,0.6333333333
HP0055,0.209,44.4375610352,0.44,0.12,0.2564093,-57.8506523128,-0.1168700047,-470.67,1.53869E-023,-15.98,0.005732,0,0.3375793589,0.29246425,0.37457675,0.3470585258,0.31658064,0.3636225942,0.364727,0.41575045,0.3304448622,0.3577376316,0.3210283871,13,21.7692307692,283,0.5705645161,5,0.0100806452,-0.2776209677,-2.3684210526,-1.5780487805,1.4390243902,19,1.0063157895,1.0063157895,1.0063157895,-0.6595652174,-0.3427116464,-1.463,0.5415384615,0.378,19.6087525151,19.89975,18.109,16.674,16.752,23,0.166667,17,0.123188,10,0.133333,11,0.146667,6,4,1,1,1,0,19,31,0.0625,19,0.0383064516,1,496,54080.3763,7.6895141602,0.122983871,2.3076923077,0.4555861267,0.4568279853,0.2867795704,0.3972271693,0.5504632669,0.6064840911,0.6543638575,0.0897817672,0.54147356,0.7658941105,0.9977553379,97,0.0802516099,0,0.0314317673,1,0.177852349,0,0.096196868,0.05972376,0.4817836,0.205588,0.2764308,0.4258886653,-0.1621743831,0.1,0.3666666667,0.5,0.7666666667
HP0071,0.24,46.9289703369,0.425,0.082,0.2560666,-29.3670455552,-0.1513765235,-172.33,1.25082E-009,-27.05,0.00510961,0,0.2897081897,0.2179855,0.358705,0.3070495915,0.3315636042,0.255889913,0.3857706,0.1907744,0.2797788387,0.3579171667,0.4315802105,6,20.6666666667,124,0.6358974359,5,0.0256410256,-0.4630769231,-1.8210526316,-1.0024390244,0.9097560976,6,1.2983333333,NA,NA,-0.14,-0.3965574952,1.669,0.901,-0.496,17.7900510204,18.33875,15.337,12.536,13.199,5,0.217391,2,0.086957,7,0.145833,8,0.166667,2,1,3,3,0,0,6,11,0.0564102564,19,0.0974358974,1,195,21705.2617,5.4749145508,0.1487179487,2.3333333333,0.4032623155,0.5653599498,0.3540515018,0.3981432905,0.7262154109,0.8082620977,0.6111430371,0.2025170502,0.5168293483,0.7168974538,0.9746492398,28,0.0727359136,1,0.1123042506,1,0.0465324385,1,0.0930009588,0.07292714,0.4817836,0.2035298,0.26690535,0.4353741497,-0.14351415,0.2,0.4,0.4666666667,0.6
HP0074,0.197,50.1214599609,0.421,0.089,0.269772,-7.5588728232,-0.048454313,-131.51,2.06434E-008,-30.06,0.0298871,0,0.298631051,0.252489,0.343575,0.2925291299,0.2513998,0.3953524545,0.314820375,0.4510598571,0.3087343818,0.2978645,0.2502986389,3,18.3333333333,55,0.4166666667,36,0.2292993631,0.3082802548,-1.6578947368,-1.0829268293,1.2707317073,8,1.08875,NA,NA,-0.6133333333,-0.1650326797,-1.476,2.0493333333,0.1758333333,20.7735443038,22.65775,21.047,19.132,23.741,8,0.363636,1,0.045455,6,0.109091,7,0.127273,5,0,3,4,3,4,8,14,0.1060606061,36,0.2727272727,-1,157,17997.3242,9.2728881836,0.178343949,2.3333333333,0.8401548146,0.7007741541,0.4629249257,0.6604841587,0.7590322056,0.8480489695,0.5979129117,0.1991175444,0.4971667578,0.7025146223,0.9773803603,47,0.089730822,1,0.0850111857,1,0.1224832215,1,0.0562480026,0.07292714,0.4817836,0.205016175,0.267718825,0.3691983122,-0.2736979664,0.1666666667,0.3,0.4333333333,0.6333333333
HP0133,0.19,44.9269714355,0.382,0.094,0.2560101,-26.0370892283,-0.0631968185,-354.52,3.33559E-019,-30.22,0.0038806,0,0.3332900654,0.277073,0.364741,0.3449233765,0.3104201096,0.3708897526,0.4446371,0.17058,0.325151535,0.2811766,0.4126259615,11,22.0909090909,243,0.588377724,20,0.0484261501,-0.2486682809,-2.6421052632,-1.6414634146,0.9804878049,5,1.388,NA,NA,-0.41,-0.4785857024,1.045,-0.204,1.0495,18.9377294686,20.31125,22.7465,26.982,21.868,22,0.226804,12,0.123711,9,0.123288,7,0.09589,5,3,2,3,5,3,5,20,0.0484261501,26,0.0629539952,1,413,46242.7674,9.0532836914,0.1525423729,2.6363636364,0.6223270637,0.5937675228,0.4614594615,0.5605613772,0.636818653,0.6990159276,0.6217955887,0.0834862205,0.5131236077,0.7446599287,0.9955265224,66,0.0722578749,1,0.1644295302,1,0.1281879195,1,0.2559923298,0.06013149,0.4817836,0.208124375,0.2809435,0.3872785829,-0.2381297178,0.1333333333,0.3333333333,0.4333333333,0.6666666667
HP0140,0.206,48.5297355652,0.448,0.125,0.2547908,-21.7003525497,-0.0395991835,-521.02,7.74454E-025,-30.91,0.014427,0,0.3439600364,0.285654,0.396758,0.3509140971,0.3515897589,0.3501090532,0.3716617273,0.2599785,0.3397835452,0.419301,0.3480885294,16,21.4375,343,0.6247723133,11,0.0200364299,-0.6630236794,-2.4,-1.6536585366,0.9536585366,6,0.875,NA,NA,-0.5591304348,-0.3737982973,-0.573,0.719,0.3472727273,19.3210545455,18.98225,20.032,23.428,18.801,20,0.212766,11,0.117021,8,0.071429,9,0.080357,4,3,5,3,0,2,6,20,0.0364298725,51,0.0928961749,1,549,59293.3276,8.9804077148,0.1366120219,2.75,0.2202617965,0.4141748256,0.1360929391,0.315315988,0.5174844018,0.7660565379,0.6024648696,0.037817694,0.5014050814,0.7202387166,0.9786638581,99,0.0717805889,0,0.020917226,0,0.0239373602,1,0.1217641419,0.05972376,0.4817836,0.205009775,0.276452475,0.4363636364,-0.1415675913,0.1333333333,0.3666666667,0.5,0.7
HP0141,0.215,50.0753326416,0.451,0.127,0.2463542,-43.4173986139,-0.0789407248,-526.83,4.68889E-025,-23.61,0.005457,0,0.3657822123,0.3055665,0.42655,0.3720578016,0.33870501,0.3947467755,0.2965896364,0.398680125,0.3606832961,0.4640433333,0.4295804429,14,21.7142857143,304,0.5517241379,11,0.0199637024,-0.6206896552,-2.452631579,-1.9390243902,0.9414634146,6,0.2516666667,NA,NA,-0.6738095238,-0.3969241371,-1.161,-0.0381428571,0.3454545455,19.7045471014,20.3885,21.2625,22.178,21.652,22,0.14966,11,0.07483,9,0.09,8,0.08,6,4,5,4,1,2,6,70,0.1270417423,50,0.0907441016,-1,551,59407.2378,9.1260375977,0.1379310345,2.2857142857,0.4402167105,0.5170926256,0.3247217085,0.3854221101,0.6536734684,0.7261878706,0.6146587263,0.0833551643,0.5148780196,0.7285599781,0.9950684975,77,0.068621818,1,0.0248322148,1,0.0666666667,1,0.0683924577,0.05972376,0.4817836,0.2044044,0.2758042,0.431763285,-0.1506175908,0.1,0.3666666667,0.5,0.7333333333
HP0173,0.196,41.8295173645,0.496,0.119,0.2515724,-13.8275605376,-0.0544392147,-227.21,5.93082E-011,-23.77,0.0068742,0,0.3574012314,0.303755,0.391595,0.3600264174,0.2941446377,0.458849087,0.2525920667,0.2967494211,0.3552448286,0.3932776667,0.5222631034,6,23.3333333333,140,0.5490196078,15,0.0588235294,-0.5403921569,-2.3947368421,-1.6317073171,0.4219512195,6,0.8733333333,NA,NA,-0.7705555556,-0.4183907023,0.609,-0.3868333333,0.6806666667,19.4785546875,18.57225,17.835,23.626,19.993,4,0.086957,3,0.065217,9,0.130435,9,0.130435,1,2,4,2,2,3,6,29,0.1137254902,24,0.0941176471,1,255,28013.2359,6.1299438477,0.137254902,1.8333333333,0.5627731211,0.531252085,0.2747214769,0.360511319,0.6810139024,0.861358699,0.5824856276,0.0415929501,0.4707333873,0.6982027794,0.9493473284,30,0.0647796907,1,0.0712527964,1,0.0939597315,1,0.1457334612,0.06013149,0.4817836,0.204362475,0.2706465,0.4231770833,-0.1675087182,0.2,0.4,0.4666666667,0.6333333333
HP0180,0.18,46.8104362488,0.376,0.094,0.2495053,-30.9680503006,-0.0730378545,-310.19,5.92503E-020,-27.43,0.0602335,2,0.3802408353,0.328986,0.4278,0.3934629324,0.3951898631,0.3682305556,0.3453747778,0.4071026471,0.3591782185,0.3992961667,0.4071026471,6,19.8333333333,119,0.2975,9,0.0211764706,0.5070588235,-2.2578947368,-1.4512195122,2.5585365854,6,1.0516666667,NA,NA,-0.4835,-0.4098511449,1.208,-0.0005,0.62,18.4402112676,19.158,19.1535,23.314,20.071,6,0.333333,1,0.055556,31,0.117871,29,0.110266,2,0,30,25,0,2,6,6,0.015,238,0.595,1,425,48473.085,8.8618774414,0.16,2.1666666667,0.5070692497,0.5065698033,0.3006671067,0.4474814257,0.5811228437,0.7532557591,0.5597765735,0.0031317519,0.4297245619,0.6992670419,0.9916867266,32,0.0425796352,1,0.0467561521,0,0.0252796421,1,0.0850111857,0.06013149,0.4817836,0.208002675,0.281441875,0.3685446009,-0.2749839741,0.1666666667,0.3,0.4333333333,0.6333333333
